"date","county","state","fips","cases","deaths","datetime","days_from_start","logcases","rolled_cases","log_rolled_cases","t0","r","r.SE","r.grf","r.SE.grf","t0.grf"
"2020-03-17","Jefferson","Arkansas",5069,5,0,2020-03-17,56,1.6094379124341,2.85714285714286,1.04982212449868,-10.7893303282634,0.216898327854334,0.0229765313429173,0.156293623518385,0.0620721759120554,45.5728490746817
"2020-03-18","Jefferson","Arkansas",5069,10,0,2020-03-18,57,2.30258509299405,4.14285714285714,1.42138568093116,-10.7893303282634,0.216898327854334,0.0229765313429173,0.156293623518385,0.0620721759120554,45.5728490746817
"2020-03-18","Pulaski","Arkansas",5119,13,0,2020-03-18,57,2.56494935746154,8.42857142857143,2.13162729485041,-11.7848807018971,0.243458634547546,0.0053410574489531,0.156293623518385,0.0620721759120554,41.3824625952028
"2020-03-19","Jefferson","Arkansas",5069,18,0,2020-03-19,58,2.89037175789616,6.57142857142857,1.88273124743378,-10.7893303282634,0.216898327854334,0.0229765313429173,0.156293623518385,0.0620721759120554,45.5728490746817
"2020-03-19","Pulaski","Arkansas",5119,18,0,2020-03-19,58,2.89037175789616,10.2857142857143,2.33075596996074,-11.7848807018971,0.243458634547546,0.0053410574489531,0.156293623518385,0.0620721759120554,41.3824625952028
"2020-03-20","Jefferson","Arkansas",5069,19,0,2020-03-20,59,2.94443897916644,9.14285714285714,2.21297293430436,-10.7893303282634,0.216898327854334,0.0229765313429173,0.156293623518385,0.0620721759120554,45.5728490746817
"2020-03-20","Pulaski","Arkansas",5119,23,0,2020-03-20,59,3.13549421592915,12.7142857142857,2.54272622067683,-11.7848807018971,0.243458634547546,0.0053410574489531,0.156293623518385,0.0620721759120554,41.3824625952028
"2020-03-21","Garland","Arkansas",5051,6,0,2020-03-21,60,1.79175946922805,3.28571428571429,1.18958406687384,-13.3840031789476,0.242903072794168,0.00577699191639612,0.156293623518385,0.0620721759120554,50.9996020296601
"2020-03-21","Jefferson","Arkansas",5069,19,0,2020-03-21,60,2.94443897916644,11.5714285714286,2.44853900561713,-10.7893303282634,0.216898327854334,0.0229765313429173,0.156293623518385,0.0620721759120554,45.5728490746817
"2020-03-21","Pulaski","Arkansas",5119,28,0,2020-03-21,60,3.3322045101752,15.7142857142857,2.7545702167371,-11.7848807018971,0.243458634547546,0.0053410574489531,0.156293623518385,0.0620721759120554,41.3824625952028
"2020-03-21","Saline","Arkansas",5125,1,0,2020-03-21,60,0,1,0,-11.0338609179114,0.181348155287994,0.0331365672142355,0.156293623518385,0.0620721759120554,60.5779843679746
"2020-03-22","Cleburne","Arkansas",5023,25,0,2020-03-22,61,3.2188758248682,8.85714285714286,2.18122423598978,-16.0745114534197,0.299652812356496,0.00959389991541136,0.156293623518385,0.0620721759120554,45.0618675162407
"2020-03-22","Cleveland","Arkansas",5025,1,0,2020-03-22,61,0,1,0,-12.6881524141947,0.206327660482647,0.0298896771905855,0.156293623518385,0.0620721759120554,61.0134173792728
"2020-03-22","Desha","Arkansas",5041,1,0,2020-03-22,61,0,1,0,-5.92908103882892,0.0964664316158374,0.0131380580581221,0.156293623518385,0.0620721759120554,62.0511183397614
"2020-03-22","Garland","Arkansas",5051,9,0,2020-03-22,61,2.19722457733622,4.28571428571429,1.45528723260684,-13.3840031789476,0.242903072794168,0.00577699191639612,0.156293623518385,0.0620721759120554,50.9996020296601
"2020-03-22","Jefferson","Arkansas",5069,20,0,2020-03-22,61,2.99573227355399,13.7142857142857,2.61843804241252,-10.7893303282634,0.216898327854334,0.0229765313429173,0.156293623518385,0.0620721759120554,45.5728490746817
"2020-03-22","Lincoln","Arkansas",5079,1,0,2020-03-22,61,0,1,0,-13.4884300763006,0.219235364710162,0.0334171470888937,0.156293623518385,0.0620721759120554,60.9308311295146
"2020-03-22","Pulaski","Arkansas",5119,52,0,2020-03-22,61,3.95124371858143,22,3.09104245335832,-11.7848807018971,0.243458634547546,0.0053410574489531,0.156293623518385,0.0620721759120554,41.3824625952028
"2020-03-22","Saline","Arkansas",5125,1,0,2020-03-22,61,0,1,0,-11.0338609179114,0.181348155287994,0.0331365672142355,0.156293623518385,0.0620721759120554,60.5779843679746
"2020-03-23","Cleburne","Arkansas",5023,25,0,2020-03-23,62,3.2188758248682,12.2857142857143,2.5084371471982,-16.0745114534197,0.299652812356496,0.00959389991541136,0.156293623518385,0.0620721759120554,45.0618675162407
"2020-03-23","Cleveland","Arkansas",5025,1,0,2020-03-23,62,0,1,0,-12.6881524141947,0.206327660482647,0.0298896771905855,0.156293623518385,0.0620721759120554,61.0134173792728
"2020-03-23","Desha","Arkansas",5041,1,0,2020-03-23,62,0,1,0,-5.92908103882892,0.0964664316158374,0.0131380580581221,0.156293623518385,0.0620721759120554,62.0511183397614
"2020-03-23","Garland","Arkansas",5051,9,0,2020-03-23,62,2.19722457733622,5.28571428571429,1.66500776358891,-13.3840031789476,0.242903072794168,0.00577699191639612,0.156293623518385,0.0620721759120554,50.9996020296601
"2020-03-23","Jefferson","Arkansas",5069,20,0,2020-03-23,62,2.99573227355399,15.8571428571429,2.76362005225702,-10.7893303282634,0.216898327854334,0.0229765313429173,0.156293623518385,0.0620721759120554,45.5728490746817
"2020-03-23","Lincoln","Arkansas",5079,1,0,2020-03-23,62,0,1,0,-13.4884300763006,0.219235364710162,0.0334171470888937,0.156293623518385,0.0620721759120554,60.9308311295146
"2020-03-23","Pulaski","Arkansas",5119,54,0,2020-03-23,62,3.98898404656427,28.2857142857143,3.34235688163922,-11.7848807018971,0.243458634547546,0.0053410574489531,0.156293623518385,0.0620721759120554,41.3824625952028
"2020-03-23","Saline","Arkansas",5125,1,0,2020-03-23,62,0,1,0,-11.0338609179114,0.181348155287994,0.0331365672142355,0.156293623518385,0.0620721759120554,60.5779843679746
"2020-03-24","Bradley","Arkansas",5011,4,0,2020-03-24,63,1.38629436111989,1.42857142857143,0.356674943938733,-14.4393185606872,0.235001814622871,0.0157977177834825,0.156293623518385,0.0620721759120554,60.1559687359491
"2020-03-24","Cleburne","Arkansas",5023,34,1,2020-03-24,63,3.52636052461616,17,2.83321334405622,-16.0745114534197,0.299652812356496,0.00959389991541136,0.156293623518385,0.0620721759120554,45.0618675162407
"2020-03-24","Cleveland","Arkansas",5025,3,0,2020-03-24,63,1.09861228866811,1.28571428571429,0.251314428280909,-12.6881524141947,0.206327660482647,0.0298896771905855,0.156293623518385,0.0620721759120554,61.0134173792728
"2020-03-24","Desha","Arkansas",5041,2,0,2020-03-24,63,0.693147180559945,1.14285714285714,0.13353139262452,-5.92908103882892,0.0964664316158374,0.0131380580581221,0.156293623518385,0.0620721759120554,62.0511183397614
"2020-03-24","Faulkner","Arkansas",5045,17,0,2020-03-24,63,2.83321334405622,5,1.6094379124341,-24.4061491696258,0.413339286592237,0.0429340290873373,0.156293623518385,0.0620721759120554,50.8992405052504
"2020-03-24","Garland","Arkansas",5051,11,0,2020-03-24,63,2.39789527279837,6.57142857142857,1.88273124743378,-13.3840031789476,0.242903072794168,0.00577699191639612,0.156293623518385,0.0620721759120554,50.9996020296601
"2020-03-24","Jefferson","Arkansas",5069,22,0,2020-03-24,63,3.09104245335832,18.2857142857143,2.9061201148643,-10.7893303282634,0.216898327854334,0.0229765313429173,0.156293623518385,0.0620721759120554,45.5728490746817
"2020-03-24","Lincoln","Arkansas",5079,3,0,2020-03-24,63,1.09861228866811,1.28571428571429,0.251314428280909,-13.4884300763006,0.219235364710162,0.0334171470888937,0.156293623518385,0.0620721759120554,60.9308311295146
"2020-03-24","Pulaski","Arkansas",5119,64,1,2020-03-24,63,4.15888308335967,36,3.58351893845611,-11.7848807018971,0.243458634547546,0.0053410574489531,0.156293623518385,0.0620721759120554,41.3824625952028
"2020-03-24","Saline","Arkansas",5125,4,0,2020-03-24,63,1.38629436111989,1.42857142857143,0.356674943938733,-11.0338609179114,0.181348155287994,0.0331365672142355,0.156293623518385,0.0620721759120554,60.5779843679746
"2020-03-24","Washington","Arkansas",5143,6,0,2020-03-24,63,1.79175946922805,2.85714285714286,1.04982212449868,-20.7759840744223,0.346573590279975,0.0144279636851931,0.156293623518385,0.0620721759120554,55.0122647880711
"2020-03-25","Bradley","Arkansas",5011,4,0,2020-03-25,64,1.38629436111989,1.85714285714286,0.619039208406225,-14.4393185606872,0.235001814622871,0.0157977177834825,0.156293623518385,0.0620721759120554,60.1559687359491
"2020-03-25","Cleburne","Arkansas",5023,41,1,2020-03-25,64,3.71357206670431,22.7142857142857,3.12299405316492,-16.0745114534197,0.299652812356496,0.00959389991541136,0.156293623518385,0.0620721759120554,45.0618675162407
"2020-03-25","Cleveland","Arkansas",5025,4,0,2020-03-25,64,1.38629436111989,1.71428571428571,0.538996500732684,-12.6881524141947,0.206327660482647,0.0298896771905855,0.156293623518385,0.0620721759120554,61.0134173792728
"2020-03-25","Desha","Arkansas",5041,2,0,2020-03-25,64,0.693147180559945,1.28571428571429,0.251314428280909,-5.92908103882892,0.0964664316158374,0.0131380580581221,0.156293623518385,0.0620721759120554,62.0511183397614
"2020-03-25","Faulkner","Arkansas",5045,23,0,2020-03-25,64,3.13549421592915,8.14285714285714,2.09714111877924,-24.4061491696258,0.413339286592237,0.0429340290873373,0.156293623518385,0.0620721759120554,50.8992405052504
"2020-03-25","Garland","Arkansas",5051,18,0,2020-03-25,64,2.89037175789616,8.85714285714286,2.18122423598978,-13.3840031789476,0.242903072794168,0.00577699191639612,0.156293623518385,0.0620721759120554,50.9996020296601
"2020-03-25","Jefferson","Arkansas",5069,22,0,2020-03-25,64,3.09104245335832,20,2.99573227355399,-10.7893303282634,0.216898327854334,0.0229765313429173,0.156293623518385,0.0620721759120554,45.5728490746817
"2020-03-25","Lincoln","Arkansas",5079,4,0,2020-03-25,64,1.38629436111989,1.71428571428571,0.538996500732684,-13.4884300763006,0.219235364710162,0.0334171470888937,0.156293623518385,0.0620721759120554,60.9308311295146
"2020-03-25","Pulaski","Arkansas",5119,79,1,2020-03-25,64,4.36944785246702,45.4285714285714,3.81614123372486,-11.7848807018971,0.243458634547546,0.0053410574489531,0.156293623518385,0.0620721759120554,41.3824625952028
"2020-03-25","Saline","Arkansas",5125,4,0,2020-03-25,64,1.38629436111989,1.85714285714286,0.619039208406225,-11.0338609179114,0.181348155287994,0.0331365672142355,0.156293623518385,0.0620721759120554,60.5779843679746
