"fips","county","state","r.lm","predicted.lm","r.slm","predicted.slm","date.y","days_from_start.y","log_rolled_cases.y","tau.hat","predicted.grf.future.0","predicted.grf.future.last","D.r.lm","D.r.slm","D.tau.hat","B.D.r.lm","B.D.r.slm","B.D.tau.hat"
35023,"Hidalgo","New Mexico",0.0790925888372192,4.17989200498299,0.0790925888372174,4.17989200498297,"2020-07-04",165,3.91487607441055,0.0759860594339368,4.15503976975672,4.15814629916001,NA,NA,NA,NA,NA,NA
35023,"Hidalgo","New Mexico",0.0662006371559791,4.15584898037029,0.0662006371559793,4.15584898037029,"2020-07-05",166,3.94573406277046,0.0653953252460472,4.14940648509083,4.15021179700076,-0.0128919516812401,-0.0128919516812381,-0.0105907341878896,-1,-1,-1
35023,"Hidalgo","New Mexico",0.0349685978377487,3.97219330298042,0.0349685978377483,3.97219330298042,"2020-07-06",167,3.97029191355212,0.0392185588860365,4.00619299136672,4.00194303031844,-0.0312320393182304,-0.031232039318231,-0.0261767663600107,-1,-1,-1
35023,"Hidalgo","New Mexico",0.0337869975773816,3.99770909873523,0.0337869975773826,3.99770909873524,"2020-07-07",168,3.95124371858143,0.0380607954650825,4.03189948183684,4.02762568394914,-0.0011816002603671,-0.0011816002603657,-0.001157763420954,-1,-1,-1
35023,"Hidalgo","New Mexico",0.0326826474303584,4.02266129513643,0.0326826474303576,4.02266129513642,"2020-07-08",169,3.9262076404201,0.0370550882183837,4.05764082144063,4.05326838065261,-0.0011043501470232,-0.001104350147025,-0.0010057072466988,-1,-1,-1
35023,"Hidalgo","New Mexico",0.0440322701505038,4.14614092432795,0.0440322701505034,4.14614092432795,"2020-07-09",170,3.89182029811063,0.0460018110867037,4.16189725181755,4.15992771088135,0.0113496227201454,0.0113496227201458,0.00894672286832,1,1,1
35023,"Hidalgo","New Mexico",0.0451204352804738,4.19887851551821,0.045120435280471,4.19887851551819,"2020-07-10",171,3.88008995832514,0.0459073897082479,4.2051741509404,4.20438719651263,0.00108816512997,0.0010881651299676,-9.44213784558057e-05,1,1,-1
35023,"Hidalgo","New Mexico",0.0318406058556564,4.13776031540015,0.0318406058556571,4.13776031540015,"2020-07-11",172,3.85014760171006,0.0359143767939994,4.17035048290689,4.16627671196855,-0.0132798294248174,-0.0132798294248139,-0.0099930129142485,-1,-1,-1
35023,"Hidalgo","New Mexico",0.0308579883599045,4.16173998128979,0.0308579883599061,4.1617399812898,"2020-07-12",173,3.81928095372953,0.0345429284984005,4.19121950239775,4.18753456225926,-0.000982617495751899,-0.000982617495751001,-0.0013714482955989,-1,-1,-1
35023,"Hidalgo","New Mexico",0.0245578507816649,4.14219686902378,0.0245578507816644,4.14219686902377,"2020-07-13",174,3.78418963391826,0.0254283228571347,4.14916064562754,4.14829017355206,-0.0063001375782396,-0.0063001375782417,-0.0091146056412658,-1,-1,-1
35023,"Hidalgo","New Mexico",-0.0190481949706959,3.81790635378656,0,3.95124371858143,"2020-07-14",175,3.76782265645406,-0.0210070361901646,3.8022356240308,3.80419446525028,-0.0436060457523608,-0.0245578507816644,-0.0464353590472993,-1,-1,-1
35023,"Hidalgo","New Mexico",-0.025036078161324,3.75095509329083,0,3.9262076404201,"2020-07-15",176,3.75787232560089,-0.0252038577578468,3.74961285651866,3.74978063611517,-0.0059878831906281,0,-0.0041968215676822,-1,0,-1
35023,"Hidalgo","New Mexico",-0.034387342309477,3.65110890194429,0,3.89182029811063,"2020-07-16",177,3.74444930526875,-0.0306147335338019,3.68128977214968,3.67751716337402,-0.009351264148153,0,-0.0054108757759551,-1,0,-1
35023,"Hidalgo","New Mexico",-0.0117303397854895,3.79797757982671,0,3.88008995832514,"2020-07-17",178,3.70306408910589,-0.0168318733277682,3.75716531148848,3.76226684503076,0.0226570025239875,0,0.0137828602060337,1,0,1
35023,"Hidalgo","New Mexico",-0.0299423566150775,3.64055110540452,0,3.85014760171006,"2020-07-18",179,3.67810735713203,-0.0281536371188797,3.6548608613741,3.6530721418779,-0.018212016829588,0,-0.0113217637911115,-1,0,-1
35023,"Hidalgo","New Mexico",-0.0308666479805268,3.60321441786584,0,3.81928095372953,"2020-07-19",180,3.62624388312245,-0.0294605344950582,3.61446332574959,3.61305721226412,-0.0009242913654493,0,-0.0013068973761785,-1,0,-1
35023,"Hidalgo","New Mexico",-0.0350913198112741,3.53855039523934,0,3.78418963391826,"2020-07-20",181,3.5715427474094,-0.0320258536343594,3.56307412465465,3.56000865847774,-0.0042246718307473,0,-0.0025653191393012,-1,0,-1
35023,"Hidalgo","New Mexico",-0.0163669774642032,3.65325381420463,0,3.76782265645406,"2020-07-21",182,3.55125807623789,-0.0196256730526633,3.62718424949695,3.63044294508542,0.0187243423470709,0,0.0124001805816961,1,0,1
35023,"Hidalgo","New Mexico",-0.00995033085316856,3.68822000962871,0,3.75787232560089,"2020-07-22",183,3.53472877428668,-0.0163357139423951,3.6371369449149,3.64352232800412,0.00641664661103464,0,0.0032899591102682,1,0,1
35023,"Hidalgo","New Mexico",-0.0134230203321406,3.65048816294376,0,3.74444930526875,"2020-07-23",184,3.52636052461616,-0.0178142202405697,3.61535856367633,3.61974976358476,-0.00347268947897204,0,-0.0014785062981746,-1,0,-1
35023,"Hidalgo","New Mexico",-0.0413852161628563,3.4133675759659,0,3.70306408910589,"2020-07-24",185,3.500827222611,-0.0376469351594515,3.44327382399314,3.43953554298973,-0.0279621958307157,0,-0.0198327149188818,-1,0,-1
35023,"Hidalgo","New Mexico",-0.0249567319738663,3.50341023331496,0,3.67810735713203,"2020-07-25",186,3.46573590279973,-0.0239100675612231,3.5117835486161,3.51073688420347,0.01642848418899,0,0.0137368675982284,1,0,1
35023,"Hidalgo","New Mexico",-0.0518634740095726,3.26319956505544,0,3.62624388312245,"2020-07-26",187,3.44316158076119,-0.046644277348143,3.30495313834689,3.29973394168545,-0.0269067420357063,0,-0.0227342097869199,-1,0,-1
