"date","county","state","fips","cases","deaths","datetime","days_from_start","logcases","rolled_cases","log_rolled_cases","t0","r","r.SE","r.grf","r.SE.grf","t0.grf"
"2020-02-06","Santa Clara","California",6085,2,0,2020-02-06,16,0.693147180559945,1.71428571428571,0.538996500732684,0.607705718033936,0.00286815395799491,0.00118197671879884,0.00417347675676853,0.00282629682310295,-137.47945866364
"2020-02-07","Santa Clara","California",6085,2,0,2020-02-07,17,0.693147180559945,1.85714285714286,0.619039208406225,0.607705718033936,0.00286815395799491,0.00118197671879884,0.00417347675676853,0.00282629682310295,-137.47945866364
"2020-02-08","San Francisco","California",6075,2,0,2020-02-08,18,0.693147180559945,2,0.693147180559945,0.557775361839751,0.00578702696732187,0.00184307573509659,0.00417347675676853,0.00282629682310295,-144.086394287314
"2020-02-08","Santa Clara","California",6085,2,0,2020-02-08,18,0.693147180559945,2,0.693147180559945,0.607705718033936,0.00286815395799491,0.00118197671879884,0.00417347675676853,0.00282629682310295,-137.47945866364
"2020-02-09","San Francisco","California",6075,2,0,2020-02-09,19,0.693147180559945,2,0.693147180559945,0.557775361839751,0.00578702696732187,0.00184307573509659,0.00417347675676853,0.00282629682310295,-144.086394287314
"2020-02-09","Santa Clara","California",6085,2,0,2020-02-09,19,0.693147180559945,2,0.693147180559945,0.607705718033936,0.00286815395799491,0.00118197671879884,0.00417347675676853,0.00282629682310295,-137.47945866364
"2020-02-10","San Francisco","California",6075,2,0,2020-02-10,20,0.693147180559945,2,0.693147180559945,0.557775361839751,0.00578702696732187,0.00184307573509659,0.00417347675676853,0.00282629682310295,-144.086394287314
"2020-02-10","Santa Clara","California",6085,2,0,2020-02-10,20,0.693147180559945,2,0.693147180559945,0.607705718033936,0.00286815395799491,0.00118197671879884,0.00417347675676853,0.00282629682310295,-137.47945866364
"2020-02-11","San Francisco","California",6075,2,0,2020-02-11,21,0.693147180559945,2,0.693147180559945,0.557775361839751,0.00578702696732187,0.00184307573509659,0.00417347675676853,0.00282629682310295,-144.086394287314
"2020-02-11","Santa Clara","California",6085,2,0,2020-02-11,21,0.693147180559945,2,0.693147180559945,0.607705718033936,0.00286815395799491,0.00118197671879884,0.00417347675676853,0.00282629682310295,-137.47945866364
"2020-02-12","San Francisco","California",6075,2,0,2020-02-12,22,0.693147180559945,2,0.693147180559945,0.557775361839751,0.00578702696732187,0.00184307573509659,0.00417347675676853,0.00282629682310295,-144.086394287314
"2020-02-12","Santa Clara","California",6085,2,0,2020-02-12,22,0.693147180559945,2,0.693147180559945,0.607705718033936,0.00286815395799491,0.00118197671879884,0.00417347675676853,0.00282629682310295,-137.47945866364
"2020-02-13","San Francisco","California",6075,2,0,2020-02-13,23,0.693147180559945,2,0.693147180559945,0.557775361839751,0.00578702696732187,0.00184307573509659,0.00417347675676853,0.00282629682310295,-144.086394287314
"2020-02-13","Santa Clara","California",6085,2,0,2020-02-13,23,0.693147180559945,2,0.693147180559945,0.607705718033936,0.00286815395799491,0.00118197671879884,0.00417347675676853,0.00282629682310295,-137.47945866364
