"date","county","state","fips","cases","deaths","datetime","days_from_start","logcases","rolled_cases","log_rolled_cases","t0","r","r.SE","r.grf","r.SE.grf","t0.grf"
"2020-03-13","District of Columbia","District of Columbia",11001,10,0,2020-03-13,52,2.30258509299405,5.71428571428571,1.74296930505862,-9.93553038810546,0.226966261048663,0.00291551106802806,0.226988567957091,0.00739470372458574,43.7770062408773
"2020-03-14","District of Columbia","District of Columbia",11001,16,0,2020-03-14,53,2.77258872223978,7.85714285714286,2.06142303617716,-9.93553038810546,0.226966261048663,0.00291551106802806,0.226988567957091,0.00739470372458574,43.7770062408773
"2020-03-15","District of Columbia","District of Columbia",11001,17,0,2020-03-15,54,2.83321334405622,10.1428571428571,2.316769727986,-9.93553038810546,0.226966261048663,0.00291551106802806,0.226988567957091,0.00739470372458574,43.7770062408773
"2020-03-16","District of Columbia","District of Columbia",11001,22,0,2020-03-16,55,3.09104245335832,12.7142857142857,2.54272622067683,-9.93553038810546,0.226966261048663,0.00291551106802806,0.226988567957091,0.00739470372458574,43.7770062408773
"2020-03-17","District of Columbia","District of Columbia",11001,31,0,2020-03-17,56,3.43398720448515,16.5714285714286,2.80768004205105,-9.93553038810546,0.226966261048663,0.00291551106802806,0.226988567957091,0.00739470372458574,43.7770062408773
"2020-03-18","District of Columbia","District of Columbia",11001,36,0,2020-03-18,57,3.58351893845611,20.2857142857143,3.00991690854595,-9.93553038810546,0.226966261048663,0.00291551106802806,0.226988567957091,0.00739470372458574,43.7770062408773
"2020-03-19","District of Columbia","District of Columbia",11001,39,0,2020-03-19,58,3.66356164612965,24.4285714285714,3.19575340744735,-9.93553038810546,0.226966261048663,0.00291551106802806,0.226988567957091,0.00739470372458574,43.7770062408773
"2020-03-20","District of Columbia","District of Columbia",11001,71,0,2020-03-20,59,4.26267987704132,33.1428571428571,3.500827222611,-9.93553038810546,0.226966261048663,0.00291551106802806,0.226988567957091,0.00739470372458574,43.7770062408773
"2020-03-21","District of Columbia","District of Columbia",11001,77,1,2020-03-21,60,4.34380542185368,41.8571428571429,3.73426245996176,-9.93553038810546,0.226966261048663,0.00291551106802806,0.226988567957091,0.00739470372458574,43.7770062408773
"2020-03-22","District of Columbia","District of Columbia",11001,98,1,2020-03-22,61,4.58496747867057,53.4285714285714,3.97834564835922,-9.93553038810546,0.226966261048663,0.00291551106802806,0.226988567957091,0.00739470372458574,43.7770062408773
"2020-03-23","District of Columbia","District of Columbia",11001,116,2,2020-03-23,62,4.75359019110636,66.8571428571429,4.20255814686233,-9.93553038810546,0.226966261048663,0.00291551106802806,0.226988567957091,0.00739470372458574,43.7770062408773
"2020-03-24","District of Columbia","District of Columbia",11001,137,2,2020-03-24,63,4.91998092582813,82,4.40671924726425,-9.93553038810546,0.226966261048663,0.00291551106802806,0.226988567957091,0.00739470372458574,43.7770062408773
"2020-03-25","District of Columbia","District of Columbia",11001,183,2,2020-03-25,64,5.20948615284142,103,4.63472898822964,-9.93553038810546,0.226966261048663,0.00291551106802806,0.226988567957091,0.00739470372458574,43.7770062408773
"2020-03-26","District of Columbia","District of Columbia",11001,231,3,2020-03-26,65,5.44241771052179,130.428571428571,4.87082573153965,-9.93553038810546,0.226966261048663,0.00291551106802806,0.226988567957091,0.00739470372458574,43.7770062408773
"2020-03-27","District of Columbia","District of Columbia",11001,267,3,2020-03-27,66,5.58724865840025,158.428571428571,5.06530383829505,-9.93553038810546,0.226966261048663,0.00291551106802806,0.226988567957091,0.00739470372458574,43.7770062408773
"2020-03-28","District of Columbia","District of Columbia",11001,304,4,2020-03-28,67,5.71702770140622,190.857142857143,5.25152520504128,-9.93553038810546,0.226966261048663,0.00291551106802806,0.226988567957091,0.00739470372458574,43.7770062408773
"2020-03-29","District of Columbia","District of Columbia",11001,342,5,2020-03-29,68,5.8348107370626,225.714285714286,5.4192699769657,-9.93553038810546,0.226966261048663,0.00291551106802806,0.226988567957091,0.00739470372458574,43.7770062408773
"2020-03-30","District of Columbia","District of Columbia",11001,401,9,2020-03-30,69,5.99396142730657,266.428571428571,5.5851061830226,-9.93553038810546,0.226966261048663,0.00291551106802806,0.226988567957091,0.00739470372458574,43.7770062408773
