"date","county","state","fips","cases","deaths","datetime","days_from_start","logcases","rolled_cases","log_rolled_cases","t0","r","r.SE","r.grf","r.SE.grf","t0.grf"
"2020-03-07","Hillsborough","Florida",12057,2,0,2020-03-07,46,0.693147180559945,1.71428571428571,0.538996500732684,-5.19157407734092,0.119968504430014,0.015896028331752,0.0956272573295753,0.0266913456916907,41.0534541902411
"2020-03-07","Manatee","Florida",12081,2,0,2020-03-07,46,0.693147180559945,1.14285714285714,0.13353139262452,-6.04036949967261,0.132575884794671,0.00512210191320203,0.115972258333317,0.0266303718261572,44.6398216097766
"2020-03-08","Hillsborough","Florida",12057,2,0,2020-03-08,47,0.693147180559945,1.85714285714286,0.619039208406225,-5.19157407734092,0.119968504430014,0.015896028331752,0.0956272573295753,0.0266913456916907,41.0534541902411
"2020-03-08","Manatee","Florida",12081,2,0,2020-03-08,47,0.693147180559945,1.28571428571429,0.251314428280909,-6.04036949967261,0.132575884794671,0.00512210191320203,0.115972258333317,0.0266303718261572,44.6398216097766
"2020-03-09","Hillsborough","Florida",12057,2,0,2020-03-09,48,0.693147180559945,2,0.693147180559945,-5.19157407734092,0.119968504430014,0.015896028331752,0.0956272573295753,0.0266913456916907,41.0534541902411
"2020-03-09","Manatee","Florida",12081,2,0,2020-03-09,48,0.693147180559945,1.42857142857143,0.356674943938733,-6.04036949967261,0.132575884794671,0.00512210191320203,0.115972258333317,0.0266303718261572,44.6398216097766
"2020-03-10","Hillsborough","Florida",12057,2,0,2020-03-10,49,0.693147180559945,2,0.693147180559945,-5.19157407734092,0.119968504430014,0.015896028331752,0.0956272573295753,0.0266913456916907,41.0534541902411
"2020-03-10","Manatee","Florida",12081,2,0,2020-03-10,49,0.693147180559945,1.57142857142857,0.451985123743056,-6.04036949967261,0.132575884794671,0.00512210191320203,0.115972258333317,0.0266303718261572,44.6398216097766
"2020-03-11","Hillsborough","Florida",12057,2,0,2020-03-11,50,0.693147180559945,2,0.693147180559945,-5.19157407734092,0.119968504430014,0.015896028331752,0.0956272573295753,0.0266913456916907,41.0534541902411
"2020-03-11","Manatee","Florida",12081,2,0,2020-03-11,50,0.693147180559945,1.71428571428571,0.538996500732684,-6.04036949967261,0.132575884794671,0.00512210191320203,0.115972258333317,0.0266303718261572,44.6398216097766
"2020-03-11","Santa Rosa","Florida",12113,1,1,2020-03-11,50,0,1,0,50,0,0.0135694756096418,0.093158093225792,0.0295790497332847,54
"2020-03-12","Broward","Florida",12011,12,0,2020-03-12,51,2.484906649788,4.42857142857143,1.48807705542983,-15.7889461361339,0.340769342552405,0.00964991551825081,0.150599482847537,0.0289961967398552,36.020633535046
"2020-03-12","Hillsborough","Florida",12057,3,0,2020-03-12,51,1.09861228866811,2.14285714285714,0.762140052046895,-5.19157407734092,0.119968504430014,0.015896028331752,0.0956272573295753,0.0266913456916907,41.0534541902411
"2020-03-12","Lee","Florida",12071,4,1,2020-03-12,51,1.38629436111989,2.14285714285714,0.762140052046895,-7.41081540168607,0.159816516669399,0.00760821276243008,0.136830602729127,0.0313536668494608,45.0051594388713
"2020-03-12","Manatee","Florida",12081,2,0,2020-03-12,51,0.693147180559945,1.85714285714286,0.619039208406225,-6.04036949967261,0.132575884794671,0.00512210191320203,0.115972258333317,0.0266303718261572,44.6398216097766
"2020-03-12","Santa Rosa","Florida",12113,1,1,2020-03-12,51,0,1,0,50,0,0.0135694756096418,0.093158093225792,0.0295790497332847,54
"2020-03-13","Broward","Florida",12011,21,0,2020-03-13,52,3.04452243772342,7.14285714285714,1.96611285637283,-15.7889461361339,0.340769342552405,0.00964991551825081,0.150599482847537,0.0289961967398552,36.020633535046
"2020-03-13","Charlotte","Florida",12015,1,0,2020-03-13,52,0,1,0,52,0,0.00964991551825081,0.093158093225792,0.0295790497332847,55
"2020-03-13","Hillsborough","Florida",12057,3,0,2020-03-13,52,1.09861228866811,2.28571428571429,0.82667857318447,-5.19157407734092,0.119968504430014,0.015896028331752,0.0956272573295753,0.0266913456916907,41.0534541902411
"2020-03-13","Lee","Florida",12071,4,1,2020-03-13,52,1.38629436111989,2.57142857142857,0.944461608840851,-7.41081540168607,0.159816516669399,0.00760821276243008,0.136830602729127,0.0313536668494608,45.0051594388713
