"date","county","state","fips","cases","deaths","datetime","days_from_start","logcases","rolled_cases","log_rolled_cases","t0","r","r.sigma","r.grf","r.sigma.grf","t0.grf"
"2020-03-12","Marion","Indiana",18097,2,0,2020-03-12,51,0.693147180559945,1.14285714285714,0.13353139262452,-17.4254578633328,0.339787147652052,0.00683262071024793,0.331054357412993,0.00621341162067798,51.0007631388707
"2020-03-13","Marion","Indiana",18097,2,0,2020-03-13,52,0.693147180559945,1.28571428571429,0.251314428280909,-17.4254578633328,0.339787147652052,0.00683262071024793,0.331054357412993,0.00621341162067798,51.0007631388707
"2020-03-14","Hendricks","Indiana",18063,2,0,2020-03-14,53,0.693147180559945,1.85714285714286,0.619039208406225,-10.3657168759291,0.199032610018111,0.00737689715793655,0.193512529797689,0.00691280811701101,51.7690086141501
"2020-03-14","Marion","Indiana",18097,3,0,2020-03-14,53,1.09861228866811,1.57142857142857,0.451985123743056,-17.4254578633328,0.339787147652052,0.00683262071024793,0.331054357412993,0.00621341162067798,51.0007631388707
"2020-03-15","Hendricks","Indiana",18063,2,0,2020-03-15,54,0.693147180559945,2,0.693147180559945,-10.3657168759291,0.199032610018111,0.00737689715793655,0.193512529797689,0.00691280811701101,51.7690086141501
"2020-03-15","Marion","Indiana",18097,6,0,2020-03-15,54,1.79175946922805,2.28571428571429,0.82667857318447,-17.4254578633328,0.339787147652052,0.00683262071024793,0.331054357412993,0.00621341162067798,51.0007631388707
"2020-03-15","Noble","Indiana",18113,1,0,2020-03-15,54,0,1,0,-2.40955143149045,0.0407592461487877,0.00725738653992942,0.0242034033291732,0.00509010626988021,56.1183645941136
"2020-03-16","Adams","Indiana",18001,1,0,2020-03-16,55,0,1,0,55,0,0,0.0225696965390741,0.00548025688616067,64
"2020-03-16","Boone","Indiana",18011,1,0,2020-03-16,55,0,1,0,-10.8916734110484,0.188853825482091,0.00942548125085707,0.188736974534161,0.00911779112309682,57.6685886654971
"2020-03-16","Hendricks","Indiana",18063,3,0,2020-03-16,55,1.09861228866811,2.14285714285714,0.762140052046895,-10.3657168759291,0.199032610018111,0.00737689715793655,0.193512529797689,0.00691280811701101,51.7690086141501
"2020-03-16","Marion","Indiana",18097,7,1,2020-03-16,55,1.94591014905531,3.14285714285714,1.145132304303,-17.4254578633328,0.339787147652052,0.00683262071024793,0.331054357412993,0.00621341162067798,51.0007631388707
"2020-03-16","Noble","Indiana",18113,1,0,2020-03-16,55,0,1,0,-2.40955143149045,0.0407592461487877,0.00725738653992942,0.0242034033291732,0.00509010626988021,56.1183645941136
"2020-03-17","Adams","Indiana",18001,1,0,2020-03-17,56,0,1,0,55,0,0,0.0225696965390741,0.00548025688616067,64
"2020-03-17","Boone","Indiana",18011,1,0,2020-03-17,56,0,1,0,-10.8916734110484,0.188853825482091,0.00942548125085707,0.188736974534161,0.00911779112309682,57.6685886654971
"2020-03-17","Hendricks","Indiana",18063,3,0,2020-03-17,56,1.09861228866811,2.28571428571429,0.82667857318447,-10.3657168759291,0.199032610018111,0.00737689715793655,0.193512529797689,0.00691280811701101,51.7690086141501
"2020-03-17","Howard","Indiana",18067,2,0,2020-03-17,56,0.693147180559945,1.28571428571429,0.251314428280909,-7.42466634646666,0.140668518783149,0.00617344472726722,0.128216139863274,0.00906468264450273,51.6431699877696
"2020-03-17","Johnson","Indiana",18081,3,1,2020-03-17,56,1.09861228866811,3,1.09861228866811,-12.6285281333029,0.237038349193589,0.00839443775669847,0.235141232457598,0.00789584989033138,53.1857555271031
"2020-03-17","Marion","Indiana",18097,9,1,2020-03-17,56,2.19722457733622,4.28571428571429,1.45528723260684,-17.4254578633328,0.339787147652052,0.00683262071024793,0.331054357412993,0.00621341162067798,51.0007631388707
"2020-03-17","Noble","Indiana",18113,1,0,2020-03-17,56,0,1,0,-2.40955143149045,0.0407592461487877,0.00725738653992942,0.0242034033291732,0.00509010626988021,56.1183645941136
"2020-03-17","St. Joseph","Indiana",18141,1,0,2020-03-17,56,0,1,0,-13.8782542017567,0.248415352668043,0.00909412480419391,0.24234833043785,0.0049663463767424,55.6510178697844
"2020-03-18","Adams","Indiana",18001,1,0,2020-03-18,57,0,1,0,55,0,0,0.0225696965390741,0.00548025688616067,64
"2020-03-18","Boone","Indiana",18011,1,0,2020-03-18,57,0,1,0,-10.8916734110484,0.188853825482091,0.00942548125085707,0.188736974534161,0.00911779112309682,57.6685886654971
"2020-03-18","Hendricks","Indiana",18063,4,0,2020-03-18,57,1.38629436111989,2.57142857142857,0.944461608840851,-10.3657168759291,0.199032610018111,0.00737689715793655,0.193512529797689,0.00691280811701101,51.7690086141501
"2020-03-18","Howard","Indiana",18067,2,0,2020-03-18,57,0.693147180559945,1.42857142857143,0.356674943938733,-7.42466634646666,0.140668518783149,0.00617344472726722,0.128216139863274,0.00906468264450273,51.6431699877696
"2020-03-18","Johnson","Indiana",18081,3,1,2020-03-18,57,1.09861228866811,3,1.09861228866811,-12.6285281333029,0.237038349193589,0.00839443775669847,0.235141232457598,0.00789584989033138,53.1857555271031
