"date","county","state","fips","cases","deaths","datetime","days_from_start","logcases","rolled_cases","log_rolled_cases","t0","r","r.sigma","r.grf","r.sigma.grf","t0.grf"
"2020-03-14","Johnson","Iowa",19103,14,0,2020-03-14,53,2.63905732961526,11,2.39789527279837,-2.64716409561949,0.0952272860625622,0.00160411937359246,0.0921023635952755,0.00168940205570781,26.5531361087127
"2020-03-15","Johnson","Iowa",19103,15,0,2020-03-15,54,2.70805020110221,12.7142857142857,2.54272622067683,-2.64716409561949,0.0952272860625622,0.00160411937359246,0.0921023635952755,0.00168940205570781,26.5531361087127
"2020-03-15","Pottawattamie","Iowa",19155,1,0,2020-03-15,54,0,1,0,-5.21674271647777,0.0918164088123558,0.00348784943548826,0.0908100080447201,0.00213278506129474,56.7264201104865
"2020-03-16","Johnson","Iowa",19103,15,0,2020-03-16,55,2.70805020110221,13.8571428571429,2.62880082944807,-2.64716409561949,0.0952272860625622,0.00160411937359246,0.0921023635952755,0.00168940205570781,26.5531361087127
"2020-03-16","Pottawattamie","Iowa",19155,1,0,2020-03-16,55,0,1,0,-5.21674271647777,0.0918164088123558,0.00348784943548826,0.0908100080447201,0.00213278506129474,56.7264201104865
"2020-03-17","Johnson","Iowa",19103,18,0,2020-03-17,56,2.89037175789616,14.7142857142857,2.68881883917432,-2.64716409561949,0.0952272860625622,0.00160411937359246,0.0921023635952755,0.00168940205570781,26.5531361087127
"2020-03-17","Pottawattamie","Iowa",19155,1,0,2020-03-17,56,0,1,0,-5.21674271647777,0.0918164088123558,0.00348784943548826,0.0908100080447201,0.00213278506129474,56.7264201104865
"2020-03-18","Carroll","Iowa",19027,1,0,2020-03-18,57,0,1,0,57,0,0,0.0029869022215673,0.00124787209355855,66.5
"2020-03-18","Johnson","Iowa",19103,21,0,2020-03-18,57,3.04452243772342,15.8571428571429,2.76362005225702,-2.64716409561949,0.0952272860625622,0.00160411937359246,0.0921023635952755,0.00168940205570781,26.5531361087127
"2020-03-18","Pottawattamie","Iowa",19155,1,0,2020-03-18,57,0,1,0,-5.21674271647777,0.0918164088123558,0.00348784943548826,0.0908100080447201,0.00213278506129474,56.7264201104865
"2020-03-19","Carroll","Iowa",19027,1,0,2020-03-19,58,0,1,0,57,0,0,0.0029869022215673,0.00124787209355855,66.5
"2020-03-19","Harrison","Iowa",19085,1,0,2020-03-19,58,0,1,0,-8.79114634305303,0.150062112326481,0.00662951285222615,0.142891117975561,0.00448060724114889,58.1609958637372
"2020-03-19","Johnson","Iowa",19103,22,0,2020-03-19,58,3.09104245335832,17,2.83321334405622,-2.64716409561949,0.0952272860625622,0.00160411937359246,0.0921023635952755,0.00168940205570781,26.5531361087127
"2020-03-19","Pottawattamie","Iowa",19155,1,0,2020-03-19,58,0,1,0,-5.21674271647777,0.0918164088123558,0.00348784943548826,0.0908100080447201,0.00213278506129474,56.7264201104865
"2020-03-20","Carroll","Iowa",19027,1,0,2020-03-20,59,0,1,0,57,0,0,0.0029869022215673,0.00124787209355855,66.5
"2020-03-20","Dallas","Iowa",19049,5,0,2020-03-20,59,1.6094379124341,3,1.09861228866811,-7.32240303044886,0.142491712285978,0.00407355801437375,0.13638105272125,0.00447505934956289,50.6663746316212
"2020-03-20","Harrison","Iowa",19085,1,0,2020-03-20,59,0,1,0,-8.79114634305303,0.150062112326481,0.00662951285222615,0.142891117975561,0.00448060724114889,58.1609958637372
"2020-03-20","Johnson","Iowa",19103,22,0,2020-03-20,59,3.09104245335832,18.1428571428571,2.89827693740328,-2.64716409561949,0.0952272860625622,0.00160411937359246,0.0921023635952755,0.00168940205570781,26.5531361087127
"2020-03-20","Pottawattamie","Iowa",19155,1,0,2020-03-20,59,0,1,0,-5.21674271647777,0.0918164088123558,0.00348784943548826,0.0908100080447201,0.00213278506129474,56.7264201104865
"2020-03-21","Allamakee","Iowa",19005,5,0,2020-03-21,60,1.6094379124341,2.57142857142857,0.944461608840851,-4.32106002921882,0.0905870081052407,0.00521640028757918,0.0875941558111755,0.0027822866752024,47.0070866611065
"2020-03-21","Carroll","Iowa",19027,1,0,2020-03-21,60,0,1,0,57,0,0,0.0029869022215673,0.00124787209355855,66.5
"2020-03-21","Dallas","Iowa",19049,5,0,2020-03-21,60,1.6094379124341,3.57142857142857,1.27296567581289,-7.32240303044886,0.142491712285978,0.00407355801437375,0.13638105272125,0.00447505934956289,50.6663746316212
"2020-03-21","Harrison","Iowa",19085,1,0,2020-03-21,60,0,1,0,-8.79114634305303,0.150062112326481,0.00662951285222615,0.142891117975561,0.00448060724114889,58.1609958637372
"2020-03-21","Johnson","Iowa",19103,27,0,2020-03-21,60,3.29583686600433,20,2.99573227355399,-2.64716409561949,0.0952272860625622,0.00160411937359246,0.0921023635952755,0.00168940205570781,26.5531361087127
"2020-03-21","Polk","Iowa",19153,10,0,2020-03-21,60,2.30258509299405,4,1.38629436111989,-10.6927213303899,0.204484739649412,0.00577757370833697,0.206248280817624,0.00626475619196533,52.4253685265356
"2020-03-21","Pottawattamie","Iowa",19155,2,0,2020-03-21,60,0.693147180559945,1.14285714285714,0.13353139262452,-5.21674271647777,0.0918164088123558,0.00348784943548826,0.0908100080447201,0.00213278506129474,56.7264201104865
"2020-03-22","Allamakee","Iowa",19005,5,0,2020-03-22,61,1.6094379124341,3,1.09861228866811,-4.32106002921882,0.0905870081052407,0.00521640028757918,0.0875941558111755,0.0027822866752024,47.0070866611065
"2020-03-22","Carroll","Iowa",19027,1,0,2020-03-22,61,0,1,0,57,0,0,0.0029869022215673,0.00124787209355855,66.5
"2020-03-22","Dallas","Iowa",19049,6,0,2020-03-22,61,1.79175946922805,4.28571428571429,1.45528723260684,-7.32240303044886,0.142491712285978,0.00407355801437375,0.13638105272125,0.00447505934956289,50.6663746316212
"2020-03-22","Harrison","Iowa",19085,3,0,2020-03-22,61,1.09861228866811,1.28571428571429,0.251314428280909,-8.79114634305303,0.150062112326481,0.00662951285222615,0.142891117975561,0.00448060724114889,58.1609958637372
"2020-03-22","Johnson","Iowa",19103,32,0,2020-03-22,61,3.46573590279973,22.4285714285714,3.11033565629299,-2.64716409561949,0.0952272860625622,0.00160411937359246,0.0921023635952755,0.00168940205570781,26.5531361087127
"2020-03-22","Polk","Iowa",19153,10,0,2020-03-22,61,2.30258509299405,5.28571428571429,1.66500776358891,-10.6927213303899,0.204484739649412,0.00577757370833697,0.206248280817624,0.00626475619196533,52.4253685265356
"2020-03-22","Pottawattamie","Iowa",19155,2,0,2020-03-22,61,0.693147180559945,1.28571428571429,0.251314428280909,-5.21674271647777,0.0918164088123558,0.00348784943548826,0.0908100080447201,0.00213278506129474,56.7264201104865
"2020-03-23","Adair","Iowa",19001,1,0,2020-03-23,62,0,1,0,62,0,0,0.00126310006109973,0.00121297645070023,69
"2020-03-23","Allamakee","Iowa",19005,6,0,2020-03-23,62,1.79175946922805,3.57142857142857,1.27296567581289,-4.32106002921882,0.0905870081052407,0.00521640028757918,0.0875941558111755,0.0027822866752024,47.0070866611065
"2020-03-23","Black Hawk","Iowa",19013,3,0,2020-03-23,62,1.09861228866811,1.85714285714286,0.619039208406225,-5.59605505213809,0.103947140966926,0.00725424420309591,0.0996701925042431,0.00403833211488045,53.1848637493831
"2020-03-23","Carroll","Iowa",19027,1,0,2020-03-23,62,0,1,0,57,0,0,0.0029869022215673,0.00124787209355855,66.5
"2020-03-23","Dallas","Iowa",19049,6,0,2020-03-23,62,1.79175946922805,5,1.6094379124341,-7.32240303044886,0.142491712285978,0.00407355801437375,0.13638105272125,0.00447505934956289,50.6663746316212
"2020-03-23","Harrison","Iowa",19085,3,0,2020-03-23,62,1.09861228866811,1.57142857142857,0.451985123743056,-8.79114634305303,0.150062112326481,0.00662951285222615,0.142891117975561,0.00448060724114889,58.1609958637372
"2020-03-23","Johnson","Iowa",19103,35,0,2020-03-23,62,3.55534806148941,25.2857142857143,3.23023958351852,-2.64716409561949,0.0952272860625622,0.00160411937359246,0.0921023635952755,0.00168940205570781,26.5531361087127
"2020-03-23","Polk","Iowa",19153,12,0,2020-03-23,62,2.484906649788,6.85714285714286,1.92529086185258,-10.6927213303899,0.204484739649412,0.00577757370833697,0.206248280817624,0.00626475619196533,52.4253685265356
"2020-03-23","Pottawattamie","Iowa",19155,2,0,2020-03-23,62,0.693147180559945,1.42857142857143,0.356674943938733,-5.21674271647777,0.0918164088123558,0.00348784943548826,0.0908100080447201,0.00213278506129474,56.7264201104865
"2020-03-24","Adair","Iowa",19001,1,0,2020-03-24,63,0,1,0,62,0,0,0.00126310006109973,0.00121297645070023,69
"2020-03-24","Allamakee","Iowa",19005,6,0,2020-03-24,63,1.79175946922805,4.14285714285714,1.42138568093116,-4.32106002921882,0.0905870081052407,0.00521640028757918,0.0875941558111755,0.0027822866752024,47.0070866611065
"2020-03-24","Black Hawk","Iowa",19013,4,0,2020-03-24,63,1.38629436111989,2.28571428571429,0.82667857318447,-5.59605505213809,0.103947140966926,0.00725424420309591,0.0996701925042431,0.00403833211488045,53.1848637493831
"2020-03-24","Carroll","Iowa",19027,1,0,2020-03-24,63,0,1,0,57,0,0,0.0029869022215673,0.00124787209355855,66.5
"2020-03-24","Dallas","Iowa",19049,7,0,2020-03-24,63,1.94591014905531,5.57142857142857,1.71765149707433,-7.32240303044886,0.142491712285978,0.00407355801437375,0.13638105272125,0.00447505934956289,50.6663746316212
"2020-03-24","Harrison","Iowa",19085,3,0,2020-03-24,63,1.09861228866811,1.85714285714286,0.619039208406225,-8.79114634305303,0.150062112326481,0.00662951285222615,0.142891117975561,0.00448060724114889,58.1609958637372
"2020-03-24","Johnson","Iowa",19103,37,0,2020-03-24,63,3.61091791264422,28,3.3322045101752,-2.64716409561949,0.0952272860625622,0.00160411937359246,0.0921023635952755,0.00168940205570781,26.5531361087127
"2020-03-24","Polk","Iowa",19153,17,0,2020-03-24,63,2.83321334405622,9.14285714285714,2.21297293430436,-10.6927213303899,0.204484739649412,0.00577757370833697,0.206248280817624,0.00626475619196533,52.4253685265356
"2020-03-24","Pottawattamie","Iowa",19155,2,0,2020-03-24,63,0.693147180559945,1.57142857142857,0.451985123743056,-5.21674271647777,0.0918164088123558,0.00348784943548826,0.0908100080447201,0.00213278506129474,56.7264201104865
"2020-03-24","Washington","Iowa",19183,4,0,2020-03-24,63,1.38629436111989,2.14285714285714,0.762140052046895,-13.5128935227153,0.228860595055073,0.00593264594278918,0.219591150749784,0.0096150229329315,58.6028494297618
"2020-03-24","Winneshiek","Iowa",19191,1,0,2020-03-24,63,0,1,0,-7.69991717035003,0.120160744049205,0.00567509087264318,0.128433577381237,0.00535909866072649,64.429250166905
"2020-03-25","Adair","Iowa",19001,1,0,2020-03-25,64,0,1,0,62,0,0,0.00126310006109973,0.00121297645070023,69
"2020-03-25","Allamakee","Iowa",19005,7,0,2020-03-25,64,1.94591014905531,4.85714285714286,1.58045037556085,-4.32106002921882,0.0905870081052407,0.00521640028757918,0.0875941558111755,0.0027822866752024,47.0070866611065
"2020-03-25","Black Hawk","Iowa",19013,4,0,2020-03-25,64,1.38629436111989,2.71428571428571,0.998528830111126,-5.59605505213809,0.103947140966926,0.00725424420309591,0.0996701925042431,0.00403833211488045,53.1848637493831
"2020-03-25","Carroll","Iowa",19027,1,0,2020-03-25,64,0,1,0,57,0,0,0.0029869022215673,0.00124787209355855,66.5
"2020-03-25","Dallas","Iowa",19049,7,0,2020-03-25,64,1.94591014905531,5.85714285714286,1.76766191764899,-7.32240303044886,0.142491712285978,0.00407355801437375,0.13638105272125,0.00447505934956289,50.6663746316212
"2020-03-25","Dubuque","Iowa",19061,6,1,2020-03-25,64,1.79175946922805,3.71428571428571,1.31218638896617,-8.90741556493704,0.161693539787521,0.00970633821532126,0.150632998125872,0.00432998700435967,53.9933331329261
