"fips","date.x","county","state","r","t0","lm_predict","r.grf","t0.grf","grf_predict","date.y","log_rolled_cases","lm_mse","grf_mse"
24001,"2020-07-11","Allegany","Maryland",0.00445380115037159,-1030.33501312968,5.35050726345862,0.00367021365856767,-1286.28526791446,5.37791000399766,"2020-07-18",5.40588972000246,0.00306721649283071,0.000782864507709788
24003,"2020-07-11","Anne Arundel","Maryland",0.00567889078358537,-1340.03335967964,8.58099341997476,0.00361634275010526,-2200.41157309866,8.6047677918919,"2020-07-18",8.64782037089337,0.00446584136907812,0.00185352455867753
24005,"2020-07-11","Baltimore","Maryland",0.00699987029009569,-1120.18226919466,9.03810840523403,0.00592969968278497,-1352.75895274213,9.08287057617804,"2020-07-18",9.12288214191584,0.0071865864309955,0.00160092539279011
24009,"2020-07-11","Calvert","Maryland",0.00454260247940886,-1162.35402510549,6.05689730037398,0.00340042316497759,-1609.37895825469,6.08124523740773,"2020-07-18",6.14203740558736,0.00724883751574409,0.00369568771198014
24011,"2020-07-11","Caroline","Maryland",0.00301816399622878,-1745.25377234848,5.78356814333977,0.00122201911371281,-4558.12225044921,5.78885393404319,"2020-07-18",5.84437223164817,0.00369713715501514,0.00308228136895552
24013,"2020-07-11","Carroll","Maryland",0.00631629422792522,-948.814270841004,7.07307641526132,0.00557616898362673,-1097.1154611551,7.11583545401959,"2020-07-18",7.11940445087061,0.00214628688341619,1.27377385226348e-05
24015,"2020-07-11","Cecil","Maryland",0.00799825242121023,-607.339735262379,6.22535767208645,0.0102215312238711,-438.58732430828,6.31268811888408,"2020-07-18",6.28626408732863,0.00370959141765181,0.000698229443643478
24017,"2020-07-11","Charles","Maryland",0.00658001633580864,-936.377513685001,7.28656212995447,0.00622004458488968,-1000.31993205904,7.33542255725629,"2020-07-18",7.34950639527599,0.00396198053686582,0.000198354493365176
24019,"2020-07-11","Dorchester","Maryland",0.00923527503661539,-402.339340364357,5.29494649757648,0.0174755516595166,-133.170494454123,5.45535160240987,"2020-07-18",5.41355748920031,0.0140685673339867,0.00174674789897369
24021,"2020-07-11","Frederick","Maryland",0.00348953975478649,-2078.34343800425,7.84917334908395,0.00101483966521184,-7557.30119644849,7.85110531618171,"2020-07-18",7.88085833306741,0.00100393821003236,0.000885242013800926
24023,"2020-07-11","Garrett","Maryland",0.0567641364505773,122.709483995423,2.74116943975259,0.0191009873669662,32.4201707906797,2.79981946597929,"2020-07-18",3.35240721749272,0.3736116209367,0.305353223122674
24025,"2020-07-11","Harford","Maryland",0.00961301307597971,-567.181788008021,7.09615118057119,0.0172446001120886,-241.606271059521,7.25318694905817,"2020-07-18",7.190891319586,0.00897569394054522,0.00388074545133447
24027,"2020-07-11","Howard","Maryland",0.0081068434262247,-803.773404802538,7.90233536878213,0.0103507948108034,-592.994011260836,7.99075160573,"2020-07-18",7.98275770201111,0.00646775168199424,6.39024966668812e-05
24029,"2020-07-11","Kent","Maryland",0.00288027176026127,-1675.53952469507,5.31853564718546,0.00115609118909744,-4425.71801487075,5.32347392527033,"2020-07-18",5.34914626740732,0.000937010070366829,0.000659069150798535
24031,"2020-07-11","Montgomery","Maryland",0.00531480211634663,-1642.54762948924,9.63864677930481,0.0027614554190897,-3317.11114094933,9.65435505591438,"2020-07-18",9.68125430105899,0.00181540091003305,0.000723569389349476
24033,"2020-07-11","Prince George's","Maryland",0.00477288388901934,-1899.90480541021,9.8841881814351,0.00234512378913887,-4041.19503504873,9.89687977149852,"2020-07-18",9.92989993982129,0.00208956485475742,0.0010903315160645
24035,"2020-07-11","Queen Anne's","Maryland",0.0182034045053406,-133.81370299157,5.54864713432629,0.0191009873669662,-119.607547392038,5.70369899041608,"2020-07-18",5.70282963990093,0.0237722450252735,7.55770318199335e-07
24037,"2020-07-11","St. Mary's","Maryland",0.00612824095504887,-889.39506012921,6.49835643601533,0.00718576312625986,-733.705614033659,6.55848634645344,"2020-07-18",6.59402252933041,0.00915200141017056,0.00126282029346609
24039,"2020-07-11","Somerset","Maryland",0.00942676533967006,-307.588809968652,4.51154440576643,0.0185141300438886,-73.9082299183546,4.68237585787808,"2020-07-18",4.64163986576949,0.0169248287134074,0.00165942105307166
24041,"2020-07-11","Talbot","Maryland",0.0217577199913325,-61.5094453851957,5.05887540803111,0.0191009873669662,-93.5011736517701,5.20504147540592,"2020-07-18",5.34165049125441,0.0799617476919469,0.0186620232110926
24043,"2020-07-11","Washington","Maryland",0.00122227397395996,-5185.73435271519,6.54739698474105,0.00117913540596856,-5381.61855863197,6.55672222156882,"2020-07-18",6.61011906614612,0.00393405949578503,0.00285122301081289
24045,"2020-07-11","Wicomico","Maryland",0.00423625242720715,-1481.89525509747,7.00208153632583,0.00166913402727728,-4020.19353269519,7.00901681254423,"2020-07-18",7.05420289687321,0.00271663622530961,0.00204178221698597
24047,"2020-07-11","Worcester","Maryland",0.0084161571255754,-507.865694663411,5.71344035345016,0.0141861994005164,-232.763213629227,5.84135505434164,"2020-07-18",5.84726419813389,0.0179088214059364,3.49179803574978e-05
24510,"2020-07-11","Baltimore city","Maryland",0.00847081909459614,-890.562703212775,8.99230561648587,0.0103461526915844,-698.598025341004,9.07976317201102,"2020-07-18",9.09054280852059,0.00965054589886642,0.00011620056327845
