"fips","date.x","county","state","r","t0","lm_predict","r.grf","t0.grf","grf_predict","date.y","log_rolled_cases","lm_mse","grf_mse"
28001,"2020-07-11","Adams","Mississippi",0.0269752294410479,-43.238831587149,5.77914163724536,0.0277537751960471,-37.2991578910047,6.00311820320123,"2020-07-18",5.9554672047373,0.0310907057513562,0.00227061765460965
28003,"2020-07-11","Alcorn","Mississippi",0.0471162571806923,78.9589587282438,4.33662937173878,0.0496222011181572,83.4808224197589,4.7398718405277,"2020-07-18",4.81218435537242,0.226152542458791,0.00522909980316771
28005,"2020-07-11","Amite","Mississippi",0.0297294424818615,16.4873630798559,4.59357455203818,0.0331506919197508,32.175516735112,4.86733321099091,"2020-07-18",4.80752776954246,0.0457759792804343,0.00357669082684378
28007,"2020-07-11","Attala","Mississippi",0.00694464615333521,-679.198573704215,5.90432825444606,0.00768775468024012,-597.258909320303,5.96768806320524,"2020-07-18",5.97960883073161,0.00566716516588467,0.000142104698417703
28009,"2020-07-11","Benton","Mississippi",0.0569038027469139,106.358376479533,3.67835419404893,0.0501334868986738,97.9664124534456,4.06249629961772,"2020-07-18",4.06044301054642,0.14599186369245,4.21599601033224e-06
28011,"2020-07-11","Bolivar","Mississippi",0.0373659110158684,13.5589844495165,5.88292697730732,0.0382037732516071,16.9570578503236,6.19065181890952,"2020-07-18",6.1512117818634,0.071976736355694,0.00155551652219973
28013,"2020-07-11","Calhoun","Mississippi",0.0250338698929783,-26.427096644803,4.94236425075445,0.0274698543979303,-9.14126104686129,5.16821304720027,"2020-07-18",5.24250258744164,0.0900830211493539,0.00551893578927402
28015,"2020-07-11","Carroll","Mississippi",0.0112831268842935,-283.768928337012,5.1312155214607,0.0123314113753431,-245.321869121449,5.23248752369107,"2020-07-18",5.27299955856375,0.0201027131772373,0.00164122496952477
28017,"2020-07-11","Chickasaw","Mississippi",0.0158818470649162,-184.962192737453,5.65333710594845,0.0163684721460311,-174.453968959608,5.78550144581949,"2020-07-18",5.75619419099574,0.0105795799444237,0.000858915185304469
28019,"2020-07-11","Choctaw","Mississippi",0.00624362679586955,-519.400323263802,4.31060195820687,0.00802459515284366,-366.728607725486,4.37925114032206,"2020-07-18",4.378448813326,0.00460319574955568,6.43728608604844e-07
28021,"2020-07-11","Claiborne","Mississippi",0.0283163534156207,-28.4964087695147,5.64901081586472,0.0302130891412233,-16.1292481464476,5.89545736830851,"2020-07-18",5.77188606195827,0.0150983261025506,0.0152698677531056
28023,"2020-07-11","Clarke","Mississippi",0.00792020450521035,-504.457631793589,5.3497625784103,0.0088585309778292,-433.175614217177,5.42297664241448,"2020-07-18",5.47586564458933,0.0159019832997546,0.00279724655105167
28025,"2020-07-11","Clay","Mississippi",0.0060991873207769,-735.374207278123,5.52814607290994,0.00712741451296462,-604.977969406739,5.58773595699413,"2020-07-18",5.61417031596651,0.00740017039345608,0.000698775334280876
28027,"2020-07-11","Coahoma","Mississippi",0.0175347693641532,-133.180099722872,5.33372789380569,0.0190328478575282,-109.434810911809,5.48973587289936,"2020-07-18",5.53338948872752,0.0398647524867282,0.00190563817487281
28029,"2020-07-11","Copiah","Mississippi",0.0130795093206869,-320.4639235947,6.42810696943823,0.0124777127390548,-344.046516327398,6.52642417989659,"2020-07-18",6.54596523437663,0.0138905706142899,0.000381852810191868
28031,"2020-07-11","Covington","Mississippi",0.0379139862429723,14.1514231009439,5.9467547867806,0.0394251635551012,20.0676463080649,6.26593403850173,"2020-07-18",6.14449214753801,0.0391000638393043,0.0147481328808453
28033,"2020-07-11","DeSoto","Mississippi",0.0342065611777376,-46.5711093988117,7.4423594641587,0.0316572908789456,-63.8901653286192,7.68924461544328,"2020-07-18",7.65552591706173,0.0454399366432589,0.00113695062054608
28035,"2020-07-11","Forrest","Mississippi",0.0183011447305005,-201.227762013994,6.8121941453284,0.0188763768153909,-189.96080790171,6.96464324006376,"2020-07-18",7.00293558022273,0.0363822949855491,0.00146630331485085
28037,"2020-07-11","Franklin","Mississippi",0.031943175541757,50.5141001891857,3.84870224796339,0.0367459838293013,65.9352047119851,4.15467713931666,"2020-07-18",4.09672268462707,0.0615141370028426,0.0033587188183679
