"date","county","state","fips","cases","deaths","datetime","days_from_start","logcases","rolled_cases","log_rolled_cases","t0","r","r.SE","r.grf","r.SE.grf","t0.grf"
"2020-03-17","Forrest","Mississippi",28035,3,0,2020-03-17,56,1.09861228866811,2.42857142857143,0.887303195000903,-7.83026777605409,0.154872235156029,0.00627242074258069,0.152652858620162,0.00691875985640996,50.3713945191128
"2020-03-18","Forrest","Mississippi",28035,3,0,2020-03-18,57,1.09861228866811,2.71428571428571,0.998528830111126,-7.83026777605409,0.154872235156029,0.00627242074258069,0.152652858620162,0.00691875985640996,50.3713945191128
"2020-03-19","Copiah","Mississippi",28029,2,0,2020-03-19,58,0.693147180559945,1.71428571428571,0.538996500732684,-7.40070384789435,0.135812002797758,0.00508324313251388,0.136278258147536,0.00983057251812116,54.5265064212256
"2020-03-19","Forrest","Mississippi",28035,4,0,2020-03-19,58,1.38629436111989,3.14285714285714,1.145132304303,-7.83026777605409,0.154872235156029,0.00627242074258069,0.152652858620162,0.00691875985640996,50.3713945191128
"2020-03-19","Leflore","Mississippi",28083,4,0,2020-03-19,58,1.38629436111989,2.28571428571429,0.82667857318447,-7.15365624653758,0.142531083562993,0.00924644505799464,0.140721530985986,0.00952948373034671,50.0061366303739
"2020-03-19","Pearl River","Mississippi",28109,7,0,2020-03-19,58,1.94591014905531,2.71428571428571,0.998528830111126,-8.21618573019905,0.162724236015337,0.00733678416678814,0.159272233748071,0.010470786041056,50.187853813893
"2020-03-20","Copiah","Mississippi",28029,2,0,2020-03-20,59,0.693147180559945,1.85714285714286,0.619039208406225,-7.40070384789435,0.135812002797758,0.00508324313251388,0.136278258147536,0.00983057251812116,54.5265064212256
"2020-03-20","Forrest","Mississippi",28035,4,0,2020-03-20,59,1.38629436111989,3.28571428571429,1.18958406687384,-7.83026777605409,0.154872235156029,0.00627242074258069,0.152652858620162,0.00691875985640996,50.3713945191128
"2020-03-20","Leflore","Mississippi",28083,7,0,2020-03-20,59,1.94591014905531,3.14285714285714,1.145132304303,-7.15365624653758,0.142531083562993,0.00924644505799464,0.140721530985986,0.00952948373034671,50.0061366303739
"2020-03-20","Pearl River","Mississippi",28109,7,0,2020-03-20,59,1.94591014905531,3.57142857142857,1.27296567581289,-8.21618573019905,0.162724236015337,0.00733678416678814,0.159272233748071,0.010470786041056,50.187853813893
