"date","county","state","fips","cases","deaths","datetime","days_from_start","logcases","rolled_cases","log_rolled_cases","t0","r","r.sigma","r.grf","r.sigma.grf","t0.grf"
"2020-02-23","Douglas","Nebraska",31055,11,0,2020-02-23,33,2.39789527279837,10.5714285714286,2.35815494414886,0.929870616366688,0.0398541286435855,0.00338770467445196,-0.00125195111220426,0.0254841175100789,2236.66660619434
"2020-02-24","Douglas","Nebraska",31055,12,0,2020-02-24,34,2.484906649788,10.8571428571429,2.38482319123102,0.929870616366688,0.0398541286435855,0.00338770467445196,-0.00125195111220426,0.0254841175100789,2236.66660619434
"2020-02-25","Douglas","Nebraska",31055,13,0,2020-02-25,35,2.56494935746154,11.2857142857143,2.42353770341171,0.929870616366688,0.0398541286435855,0.00338770467445196,-0.00125195111220426,0.0254841175100789,2236.66660619434
"2020-02-26","Douglas","Nebraska",31055,13,0,2020-02-26,36,2.56494935746154,11.7142857142857,2.46080909820894,0.929870616366688,0.0398541286435855,0.00338770467445196,-0.00125195111220426,0.0254841175100789,2236.66660619434
"2020-02-27","Douglas","Nebraska",31055,13,0,2020-02-27,37,2.56494935746154,12,2.484906649788,0.929870616366688,0.0398541286435855,0.00338770467445196,-0.00125195111220426,0.0254841175100789,2236.66660619434
"2020-02-28","Douglas","Nebraska",31055,13,0,2020-02-28,38,2.56494935746154,12.2857142857143,2.5084371471982,0.929870616366688,0.0398541286435855,0.00338770467445196,-0.00125195111220426,0.0254841175100789,2236.66660619434
"2020-02-29","Douglas","Nebraska",31055,13,0,2020-02-29,39,2.56494935746154,12.5714285714286,2.5314266654229,0.929870616366688,0.0398541286435855,0.00338770467445196,-0.00125195111220426,0.0254841175100789,2236.66660619434
"2020-03-01","Douglas","Nebraska",31055,13,0,2020-03-01,40,2.56494935746154,12.8571428571429,2.55389952127496,0.929870616366688,0.0398541286435855,0.00338770467445196,-0.00125195111220426,0.0254841175100789,2236.66660619434
"2020-03-02","Douglas","Nebraska",31055,13,0,2020-03-02,41,2.56494935746154,13,2.56494935746154,0.929870616366688,0.0398541286435855,0.00338770467445196,-0.00125195111220426,0.0254841175100789,2236.66660619434
"2020-03-03","Douglas","Nebraska",31055,13,0,2020-03-03,42,2.56494935746154,13,2.56494935746154,0.929870616366688,0.0398541286435855,0.00338770467445196,-0.00125195111220426,0.0254841175100789,2236.66660619434
"2020-03-04","Douglas","Nebraska",31055,13,0,2020-03-04,43,2.56494935746154,13,2.56494935746154,0.929870616366688,0.0398541286435855,0.00338770467445196,-0.00125195111220426,0.0254841175100789,2236.66660619434
