"fips","date.x","county","state","r","t0","lm_predict","r.grf","t0.grf","grf_predict","date.y","log_rolled_cases","lm_mse","grf_mse"
33001,"2020-07-11","Belknap","New Hampshire",0.00918557160206975,-312.889107056841,4.44479804033221,0.0113813399766266,-220.016125553579,4.54133818108161,"2020-07-18",4.53259949315326,0.00770909511748672,7.63646667092138e-05
33003,"2020-07-11","Carroll","New Hampshire",0.0172810251415558,-69.150782421915,4.15005170879741,0.0114485489560689,-190.222241718367,4.22705890998224,"2020-07-18",4.23203396499529,0.00672109033129495,2.47511723828393e-05
33005,"2020-07-11","Cheshire","New Hampshire",0.00630961538083347,-510.654308512562,4.30097650940227,0.0108999179218365,-224.640801763781,4.39965160912947,"2020-07-18",4.35487564560793,0.00290511688371672,0.00200488690928199
33007,"2020-07-11","Coos","New Hampshire",0.0411108358901248,118.856027686188,2.14368228845233,0.0114485489560689,-9.76758714650267,2.16111496276574,"2020-07-18",2.42353770341171,0.0783190532820851,0.0688656948081394
33009,"2020-07-11","Grafton","New Hampshire",0.00601088997086336,-575.305236023233,4.48595865841487,0.0104752035599138,-258.310935741328,4.58092107086681,"2020-07-18",4.55537952148507,0.00481925622941223,0.000652370744819439
33011,"2020-07-11","Hillsborough","New Hampshire",0.00366474779235442,-2044.65204246031,8.11980593123196,0.0102760299006333,-620.777974098854,8.21854237570772,"2020-07-18",8.14869350795626,0.000834492089002497,0.004878864326161
33013,"2020-07-11","Merrimack","New Hampshire",0.00298586705150504,-1852.18298152813,6.04095540371058,0.0107002861610349,-395.362558933496,6.14584374077268,"2020-07-18",6.07073772800249,0.000886986840228742,0.00564091315423583
33015,"2020-07-11","Rockingham","New Hampshire",0.00250069473794495,-2753.65331639574,7.31366515862408,0.010609401026277,-520.267763955805,7.41881213255513,"2020-07-18",7.33684390342991,0.000537254210773834,0.00671879058592354
33017,"2020-07-11","Strafford","New Hampshire",0.00193989792299363,-2762.26779909803,5.69024011105438,0.010609401026277,-367.382313446869,5.7967890770228,"2020-07-18",5.71984328280639,0.000876347777778989,0.0059206552475947
33019,"2020-07-11","Sullivan","New Hampshire",0.00898684466667759,-224.796173149186,3.55695872775716,0.0114264117888644,-140.826469358913,3.65446893987354,"2020-07-18",3.59926729542425,0.0017900148980407,0.003047221549906
