"fips","date.x","county","state","r","t0","lm_predict","r.grf","t0.grf","grf_predict","date.y","log_rolled_cases","lm_mse","grf_mse"
38003,"2020-07-11","Barnes","North Dakota",0.0242469070336575,43.2115853064058,3.09847381105405,0.025467678720368,49.2171797310155,3.30526717003377,"2020-07-18",3.2188758248682,0.0144966449305038,0.00746346451951608
38005,"2020-07-11","Benson","North Dakota",0.116623969004873,154.71881797302,1.89877606807716,0.090459604575415,150.73277502584,2.55704199360683,"2020-07-18",2.89037175789616,0.983262012067632,0.111108731761185
38007,"2020-07-11","Billings","North Dakota",0,165,0,0.00698577230348095,168.5,0.0733506091865499,"2020-07-18",0,0,0.00538031186803798
38009,"2020-07-11","Bottineau","North Dakota",-5.23364152894593e-17,30751779684044468,1.6094379124341,0.00859341656266072,-18.7873147366408,1.69966878634204,"2020-07-18",1.88273124743378,0.074689246955248,0.0335118646609662
38011,"2020-07-11","Bowman","North Dakota",0,165,0,0.00698577230348095,168.5,0.0733506091865499,"2020-07-18",0,0,0.00538031186803798
38013,"2020-07-11","Burke","North Dakota",0.0214215386093072,86.9011962552224,1.80152577141531,0.0266910157318334,103.010850300564,2.02822759007629,"2020-07-18",1.94591014905531,0.0208468485064925,0.0067761610962416
38015,"2020-07-11","Burleigh","North Dakota",0.0425570625157364,33.2490283333027,5.86227671282307,0.0397675981216155,23.7619637994897,6.17344383681069,"2020-07-18",6.19440539110467,0.110309458937087,0.000439386758419706
38017,"2020-07-11","Cass","North Dakota",0.00733724466097387,-887.811999438687,7.76876268985657,0.00722432970572873,-904.321963269234,7.82627504011429,"2020-07-18",7.83682120234502,0.00463196112213949,0.000111221537796687
38019,"2020-07-11","Cavalier","North Dakota",0.176450928567237,160.365857463916,1.87640432500845,0.0891484490956223,152.400146125359,2.37133571909439,"2020-07-18",2.96674473668074,1.1888422133257,0.354511898223144
38021,"2020-07-11","Dickey","North Dakota",0.0138418711552162,66.4886674289123,1.44663239970895,0.0206064741204666,99.9765003675001,1.62839570008581,"2020-07-18",1.81528996663825,0.135908401654229,0.0349294668701738
38023,"2020-07-11","Divide","North Dakota",0,165,0,0.00698577230348095,168.5,0.0733506091865499,"2020-07-18",0,0,0.00538031186803798
38025,"2020-07-11","Dunn","North Dakota",0.030050120246318,78.8290572573943,2.76974791263179,0.0326506339043767,85.9710475788099,3.03745426801195,"2020-07-18",3.2470467018349,0.227814134174749,0.043928988315825
38027,"2020-07-11","Eddy","North Dakota",-5.23364152894593e-17,30751779684044468,1.6094379124341,0.00859341656266072,-18.7873147366408,1.69966878634204,"2020-07-18",1.6094379124341,0,0.00814161060619014
38029,"2020-07-11","Emmons","North Dakota",1.04672830578919e-16,-13244070628955322,1.38629436111989,0.00638226667635018,-48.7103472668851,1.45330816122157,"2020-07-18",1.71765149707433,0.109797551547931,0.069877399209768
38031,"2020-07-11","Foster","North Dakota",0.0584655658665984,154.406063335819,0.970173897025861,0.0646026525806692,155.744951260625,1.50233783445639,"2020-07-18",1.09861228866811,0.0164964204476478,0.162994316322044
38035,"2020-07-11","Grand Forks","North Dakota",0.00825270227336109,-557.775762746402,6.01436939398769,0.00889111140526629,-505.626930268149,6.08709430805959,"2020-07-18",6.14418563412565,0.0168522562035549,0.003259419511981
38037,"2020-07-11","Grant","North Dakota",5.23364152894593e-17,-20991355303796744,1.09861228866811,0.00609152487775869,-11.8509483609517,1.16257329988458,"2020-07-18",1.34992671694902,0.0631589418621591,0.0351013028857222
38039,"2020-07-11","Griggs","North Dakota",5.23364152894593e-17,-13244070628955322,0.693147180559945,0.00611941712234944,55.2298687601435,0.757401060344615,"2020-07-18",0.762140052046895,0.00476001631601483,2.2458042354288e-05
