"date","county","state","fips","cases","deaths","datetime","days_from_start","logcases","rolled_cases","log_rolled_cases","t0","r","r.sigma","r.grf","r.sigma.grf","t0.grf"
"2020-03-16","Beadle","South Dakota",46005,1,0,2020-03-16,55,0,1,0,-6.09712215058275,0.120641210427054,0.0114326091513246,0.123515109889556,0.0102498566701513,50.9572008590047
"2020-03-16","Charles Mix","South Dakota",46023,1,0,2020-03-16,55,0,1,0,-1.78844407123652,0.028655503559135,0.00432869083437132,0.0290676208042699,0.00352436384111957,62.4982042651871
"2020-03-16","Davison","South Dakota",46035,2,1,2020-03-16,55,0.693147180559945,2,0.693147180559945,-0.39419479240563,0.0176136350802399,0.00205874234122014,0.0212661915524135,0.00208866281883054,30.301378089317
"2020-03-16","Minnehaha","South Dakota",46099,4,0,2020-03-16,55,1.38629436111989,2.85714285714286,1.04982212449868,-9.10579419293946,0.176380168741207,0.006082086999704,0.171890173220564,0.00675148510263747,51.1851802516122
"2020-03-17","Beadle","South Dakota",46005,1,0,2020-03-17,56,0,1,0,-6.09712215058275,0.120641210427054,0.0114326091513246,0.123515109889556,0.0102498566701513,50.9572008590047
"2020-03-17","Bon Homme","South Dakota",46009,1,0,2020-03-17,56,0,1,0,-1.77887949420469,0.0280112087322211,0.00544505281019454,0.0269233714569382,0.00404213084452183,63.2840030801973
"2020-03-17","Charles Mix","South Dakota",46023,1,0,2020-03-17,56,0,1,0,-1.78844407123652,0.028655503559135,0.00432869083437132,0.0290676208042699,0.00352436384111957,62.4982042651871
"2020-03-17","Davison","South Dakota",46035,2,1,2020-03-17,56,0.693147180559945,2,0.693147180559945,-0.39419479240563,0.0176136350802399,0.00205874234122014,0.0212661915524135,0.00208866281883054,30.301378089317
"2020-03-17","Minnehaha","South Dakota",46099,5,0,2020-03-17,56,1.6094379124341,3.42857142857143,1.23214368129263,-9.10579419293946,0.176380168741207,0.006082086999704,0.171890173220564,0.00675148510263747,51.1851802516122
"2020-03-18","Beadle","South Dakota",46005,1,0,2020-03-18,57,0,1,0,-6.09712215058275,0.120641210427054,0.0114326091513246,0.123515109889556,0.0102498566701513,50.9572008590047
"2020-03-18","Bon Homme","South Dakota",46009,1,0,2020-03-18,57,0,1,0,-1.77887949420469,0.0280112087322211,0.00544505281019454,0.0269233714569382,0.00404213084452183,63.2840030801973
