"fips","date.x","county","state","r","t0","lm_predict","r.grf","t0.grf","grf_predict","date.y","log_rolled_cases","lm_mse","grf_mse"
50001,"2020-07-11","Addison","Vermont",0,165,0,0.0102087887974452,-244.821089200321,4.32669998754928,"2020-07-18",4.23617475766132,17.9451765774469,0.00819481724626876
50003,"2020-07-11","Bennington","Vermont",0.00247583693699414,-1563.43717109176,4.29418361308459,0.00474849566525836,-734.521572097993,4.33785322522732,"2020-07-18",4.3193910636824,0.000635415565640749,0.000340851408910857
50005,"2020-07-11","Caledonia","Vermont",0.0112555808507503,-99.0415359343602,3.03947434077,0.0156901339183006,-23.4254102178681,3.17608179478528,"2020-07-18",3.12926366617852,0.00806212295731698,0.0021919371662392
50007,"2020-07-11","Chittenden","Vermont",0.00561946478094261,-977.010216363772,6.45120297901852,0.0112546376453363,-403.455714605665,6.5553280123422,"2020-07-18",6.50471579808881,0.00286362180484962,0.00256159623163072
50009,"2020-07-11","Essex","Vermont",0.0533197242647419,145.249100006466,1.37303088722418,0.0163811428806651,92.819592009322,1.41173357680931,"2020-07-18",1.6094379124341,0.0558882815686042,0.0390870043248408
50011,"2020-07-11","Franklin","Vermont",0.00492359377130095,-783.982398598679,4.7019453894425,0.0117571279777841,-230.376019200916,4.81308624878098,"2020-07-18",4.70048036579242,2.14629429529031e-06,0.0126800848836332
50013,"2020-07-11","Grand Isle","Vermont",1.04672830578919e-16,-21997925156499728,2.30258509299405,0.00490782929107475,-300.66568536348,2.35411730055033,"2020-07-18",2.56494935746154,0.0688350072695677,0.04445015622141
50015,"2020-07-11","Lamoille","Vermont",0.0198246036469995,-7.38116801533875,3.53633595399292,0.0158087093939084,-52.0603479698969,3.65276589351146,"2020-07-18",3.68887945411394,0.0232695194291705,0.00130418925938873
50017,"2020-07-11","Orange","Vermont",0.0150480940356985,18.9330460577772,2.2883178226448,0.0165138139658196,32.2081904753155,2.42409263419666,"2020-07-18",2.30258509299405,0.000203555003218408,0.0147640825691056
50019,"2020-07-11","Orleans","Vermont",0,165,0,0.0102087887974452,-90.0083678365139,2.74624961198843,"2020-07-18",2.63905732961526,6.96462358899602,0.0114901854003706
50021,"2020-07-11","Rutland","Vermont",0.00298775448003353,-1272.0605823841,4.31151071997789,0.00479028912497695,-729.993018163807,4.35433936959006,"2020-07-18",4.35670882668959,0.00204286885032278,5.61432694652398e-06
50023,"2020-07-11","Washington","Vermont",0.00372543232292278,-831.675669744696,3.73540034947514,0.00624703403110944,-427.956934620877,3.79168062599448,"2020-07-18",3.77767495289707,0.00178714209448109,0.000196158878911684
50025,"2020-07-11","Windham","Vermont",0.00383761591818274,-1022.7920922232,4.58131553611643,0.00830623793851234,-381.896163722199,4.65893699467536,"2020-07-18",4.59511985013459,0.000190559085511879,0.00407262793733705
50027,"2020-07-11","Windsor","Vermont",0.00484310847272037,-674.223209262475,4.093507686119,0.0123780312578543,-161.22932689497,4.21136924314467,"2020-07-18",4.14991441337691,0.00318171887994833,0.00377669610178422
