"date","county","state","fips","cases","deaths","datetime","days_from_start","logcases","rolled_cases","log_rolled_cases","t0","r","r.sigma","r.grf","r.sigma.grf","t0.grf"
"2020-01-27","Snohomish","Washington",53061,1,0,2020-01-27,6,0,1,0,6,0,0,0,NA,NA
"2020-01-28","Snohomish","Washington",53061,1,0,2020-01-28,7,0,1,0,6,0,0,0,NA,NA
"2020-01-29","Snohomish","Washington",53061,1,0,2020-01-29,8,0,1,0,6,0,0,0,NA,NA
"2020-01-30","Snohomish","Washington",53061,1,0,2020-01-30,9,0,1,0,6,0,0,0,NA,NA
"2020-01-31","Snohomish","Washington",53061,1,0,2020-01-31,10,0,1,0,6,0,0,0,NA,NA
"2020-02-01","Snohomish","Washington",53061,1,0,2020-02-01,11,0,1,0,6,0,0,0,NA,NA
"2020-02-02","Snohomish","Washington",53061,1,0,2020-02-02,12,0,1,0,6,0,0,0,NA,NA
"2020-02-03","Snohomish","Washington",53061,1,0,2020-02-03,13,0,1,0,6,0,0,0,NA,NA
"2020-02-04","Snohomish","Washington",53061,1,0,2020-02-04,14,0,1,0,6,0,0,0,NA,NA
"2020-02-05","Snohomish","Washington",53061,1,0,2020-02-05,15,0,1,0,6,0,0,0,NA,NA
"2020-02-06","Snohomish","Washington",53061,1,0,2020-02-06,16,0,1,0,6,0,0,0,NA,NA
"2020-02-07","Snohomish","Washington",53061,1,0,2020-02-07,17,0,1,0,6,0,0,0,NA,NA
"2020-02-08","Snohomish","Washington",53061,1,0,2020-02-08,18,0,1,0,6,0,0,0,NA,NA
"2020-02-09","Snohomish","Washington",53061,1,0,2020-02-09,19,0,1,0,6,0,0,0,NA,NA
"2020-02-10","Snohomish","Washington",53061,1,0,2020-02-10,20,0,1,0,6,0,0,0,NA,NA
"2020-02-11","Snohomish","Washington",53061,1,0,2020-02-11,21,0,1,0,6,0,0,0,NA,NA
"2020-02-12","Snohomish","Washington",53061,1,0,2020-02-12,22,0,1,0,6,0,0,0,NA,NA
"2020-02-13","Snohomish","Washington",53061,1,0,2020-02-13,23,0,1,0,6,0,0,0,NA,NA
"2020-02-14","Snohomish","Washington",53061,1,0,2020-02-14,24,0,1,0,6,0,0,0,NA,NA
"2020-02-15","Snohomish","Washington",53061,1,0,2020-02-15,25,0,1,0,6,0,0,0,NA,NA
"2020-02-16","Snohomish","Washington",53061,1,0,2020-02-16,26,0,1,0,6,0,0,0,NA,NA
"2020-02-17","Snohomish","Washington",53061,1,0,2020-02-17,27,0,1,0,6,0,0,0,NA,NA
"2020-02-18","Snohomish","Washington",53061,1,0,2020-02-18,28,0,1,0,6,0,0,0,NA,NA
"2020-02-19","Snohomish","Washington",53061,1,0,2020-02-19,29,0,1,0,6,0,0,0,NA,NA
"2020-02-20","Snohomish","Washington",53061,1,0,2020-02-20,30,0,1,0,6,0,0,0,NA,NA
"2020-02-21","Snohomish","Washington",53061,1,0,2020-02-21,31,0,1,0,6,0,0,0,NA,NA
"2020-02-22","Snohomish","Washington",53061,1,0,2020-02-22,32,0,1,0,6,0,0,0,NA,NA
"2020-02-23","Snohomish","Washington",53061,1,0,2020-02-23,33,0,1,0,6,0,0,0,NA,NA
