"date","county","state","fips","cases","deaths","datetime","days_from_start","logcases","rolled_cases","log_rolled_cases","t0","r","r.sigma","r.grf","r.sigma.grf","t0.grf"
"2020-02-11","Dane","Wisconsin",55025,1,0,2020-02-11,21,0,1,0,21,0,0,0,NA,NA
"2020-02-12","Dane","Wisconsin",55025,1,0,2020-02-12,22,0,1,0,21,0,0,0,NA,NA
"2020-02-13","Dane","Wisconsin",55025,1,0,2020-02-13,23,0,1,0,21,0,0,0,NA,NA
"2020-02-14","Dane","Wisconsin",55025,1,0,2020-02-14,24,0,1,0,21,0,0,0,NA,NA
"2020-02-15","Dane","Wisconsin",55025,1,0,2020-02-15,25,0,1,0,21,0,0,0,NA,NA
"2020-02-16","Dane","Wisconsin",55025,1,0,2020-02-16,26,0,1,0,21,0,0,0,NA,NA
"2020-02-17","Dane","Wisconsin",55025,1,0,2020-02-17,27,0,1,0,21,0,0,0,NA,NA
"2020-02-18","Dane","Wisconsin",55025,1,0,2020-02-18,28,0,1,0,21,0,0,0,NA,NA
"2020-02-19","Dane","Wisconsin",55025,1,0,2020-02-19,29,0,1,0,21,0,0,0,NA,NA
"2020-02-20","Dane","Wisconsin",55025,1,0,2020-02-20,30,0,1,0,21,0,0,0,NA,NA
"2020-02-21","Dane","Wisconsin",55025,1,0,2020-02-21,31,0,1,0,21,0,0,0,NA,NA
"2020-02-22","Dane","Wisconsin",55025,1,0,2020-02-22,32,0,1,0,21,0,0,0,NA,NA
"2020-02-23","Dane","Wisconsin",55025,1,0,2020-02-23,33,0,1,0,21,0,0,0,NA,NA
