"fips","date.x","county","state","r","t0","lm_predict","r.grf","t0.grf","grf_predict","date.y","log_rolled_cases","lm_mse","grf_mse"
56001,"2020-07-11","Albany","Wyoming",0.0342773401760054,62.497361907292,3.71918183589775,0.0343884299216561,62.8397970266287,3.99456699963513,"2020-07-18",3.96759285658296,0.0617080351978643,0.00072760439339906
56003,"2020-07-11","Big Horn","Wyoming",0.0430773507483337,96.4850700679118,3.20990577267207,0.0404791907306586,91.8627861672726,3.52724389847316,"2020-07-18",3.41538201665411,0.0422204868409651,0.0125130806040983
56005,"2020-07-11","Campbell","Wyoming",0.043659958123248,72.4501528209708,4.3026822008889,0.0404548165426338,64.8403455022129,4.61830787927843,"2020-07-18",4.51085950651685,0.0433377905785124,0.0115451528091123
56007,"2020-07-11","Carbon","Wyoming",0.0286795621986901,55.3333005500612,3.31727030119171,0.02851697816487,54.6881025075373,3.54499966642612,"2020-07-18",3.40594798442075,0.00786373150287022,0.0193353702685222
56009,"2020-07-11","Converse","Wyoming",0.00540349493873303,-437.221679203763,3.28652276520524,0.00470145612506929,-527.670280183177,3.32237931717163,"2020-07-18",3.34235688163922,0.00311744855796365,0.000399103082056693
56011,"2020-07-11","Crook","Wyoming",5.23364152894593e-17,-37180806868276584,1.94591014905531,-0.00159876155145296,1385.63594330991,1.92912315276506,"2020-07-18",2.09714111877924,0.0228708062036382,0.0282300369035419
56013,"2020-07-11","Fremont","Wyoming",0.00614842284085498,-791.793230837715,5.91965989150317,0.00560924740813764,-884.099110860284,5.96318593218648,"2020-07-18",6.00141487796115,0.00668387781074411,0.00146145229504275
56015,"2020-07-11","Goshen","Wyoming",0.0676520502575887,139.838339707964,2.1081502081867,0.0408411614717855,121.02289570946,2.36785227799648,"2020-07-18",2.316769727986,0.0435221040412889,0.00260942691557295
56017,"2020-07-11","Hot Springs","Wyoming",1.04672830578919e-16,-24504442492626220,2.56494935746154,-0.00181170058822404,1584.26890471504,2.54592650128518,"2020-07-18",2.58668934409794,0.000472627018951173,0.00166160935417771
56019,"2020-07-11","Johnson","Wyoming",0.000593122314072058,-4883.78329120162,2.99810476281028,-0.00146792102966198,2209.9054274535,2.98120878621365,"2020-07-18",3.07797037179096,0.00637851549785572,0.00936280444343605
56021,"2020-07-11","Laramie","Wyoming",0.0159081140082345,-187.289108487363,5.69970398572569,0.0153383570812641,-200.505211621964,5.82098645005838,"2020-07-18",5.86768140389712,0.0282164130155393,0.00218041871400239
56023,"2020-07-11","Lincoln","Wyoming",0.0583150506598146,108.930423229705,3.61959051379301,0.0409135293140406,83.5940301317065,3.9033949449409,"2020-07-18",3.82241084673846,0.0411360874561021,0.00655842416166293
56025,"2020-07-11","Natrona","Wyoming",0.0280294568878288,-7.74629379621142,5.01016153582008,0.0237448745951407,-39.5485990274076,5.18940907684949,"2020-07-18",5.14082778545526,0.0170736687937241,0.00236014187353032
56027,"2020-07-11","Niobrara","Wyoming",5.23364152894593e-17,-13244070628955322,0.693147180559945,-0.00159876155145296,602.052570694493,0.676360184269689,"2020-07-18",0.693147180559945,0,0.000281803244449066
56029,"2020-07-11","Park","Wyoming",0.0504004648708125,86.3659291440381,4.26559651504976,0.0408578316598587,67.1829407068185,4.56860258530125,"2020-07-18",4.46590811865458,0.0401247385387354,0.0105461534798424
56031,"2020-07-11","Platte","Wyoming",0.0244371240329763,113.542897382601,1.40408634323684,0.0260751306562255,116.995232838507,1.61678240504477,"2020-07-18",1.38629436111989,0.000316554627649856,0.0531247383923157
56033,"2020-07-11","Sheridan","Wyoming",0.00357414679089893,-754.175487602063,3.30671300003126,0.00195809712060462,-1515.67470121999,3.31833765282036,"2020-07-18",3.56347818757266,0.0659283615331718,0.0600938817786444
56035,"2020-07-11","Sublette","Wyoming",0.00196087478418286,-746.755168703809,1.79960296836479,0.000540964917699985,-3149.09181174786,1.80038091304018,"2020-07-18",2.46080909820894,0.437193546143482,0.436165387765301
56037,"2020-07-11","Sweetwater","Wyoming",0.0419774596566301,57.4601629791949,4.76611392796121,0.0355636331631788,37.4343617556592,5.03458842703301,"2020-07-18",5.04985600724954,0.0805095675588659,0.000233099005668113
56039,"2020-07-11","Teton","Wyoming",0.0166809469110296,-127.524768201947,4.97967581000411,0.0176182845444458,-111.775496190874,5.12296543044322,"2020-07-18",5.15905529921453,0.0321770011493901,0.00130247862793048
56041,"2020-07-11","Uinta","Wyoming",0.012544743732604,-247.652068285999,5.2518829097725,0.0112799456677676,-294.314379093919,5.33896047995255,"2020-07-18",5.35388721770285,0.0104048788363489,0.000222807499866124
56043,"2020-07-11","Washakie","Wyoming",0.00885945105682951,-244.320082020248,3.67950793957681,0.0108990435754961,-167.066996002973,3.77179926947744,"2020-07-18",3.73766961828337,0.00338278086996547,0.00116483309062915
56045,"2020-07-11","Weston","Wyoming",-0.0771645552649904,174.434926946236,0.265054610174058,0.00801274464854838,111.345302274857,0.542099817146295,"2020-07-18",1.04982212449868,0.615860051539244,0.257781941383228
