"fips","county","state","days_from_start","datetime","log_rolled_cases.x","t0.hat","tau.hat","predicted.grf.future","Predicted_Double_Days"
1001,"Autauga","Alabama",196,"2020-08-04",6.93939236392532,-126.312708796489,0.0215969824031018,7.11216077699555,32.0946309823541
1003,"Baldwin","Alabama",196,"2020-08-04",8.05229649953865,-81.8282405746251,0.0290343052623985,8.26979008419555,23.8733861304965
1005,"Barbour","Alabama",196,"2020-08-04",6.39811942335174,-157.644313509999,0.0181513593690268,6.54618453891598,38.1870672310483
1007,"Bibb","Alabama",196,"2020-08-04",5.90575102883395,-51.5569170353611,0.0238939082434021,6.08235961836623,29.0093681409925
1009,"Blount","Alabama",196,"2020-08-04",6.6598432193404,-27.297077943106,0.0298053925358474,6.86409480795292,23.2557641952303
1011,"Bullock","Alabama",196,"2020-08-04",6.08904487544685,-406.768139204059,0.0101085867730283,6.16389414657225,68.5701370649947
1013,"Butler","Alabama",196,"2020-08-04",6.62898575248921,-432.882240262664,0.0105574117330752,6.71327062420319,65.6550296687201
1015,"Calhoun","Alabama",196,"2020-08-04",7.30326624670607,-14.5787021786924,0.0343713759009818,7.47847936063161,20.1664077270804
1017,"Chambers","Alabama",196,"2020-08-04",6.75975232974111,-272.010934502841,0.0144823117493827,6.87925643783576,47.861639257247
1019,"Cherokee","Alabama",196,"2020-08-04",5.50938833662798,13.1359768842888,0.0301930531516466,5.73257454151812,22.9571741909826
1021,"Chilton","Alabama",196,"2020-08-04",6.57607155909272,-40.2847539079084,0.0278543961596756,6.77654991496006,24.8846600941005
1023,"Choctaw","Alabama",196,"2020-08-04",5.61884686385042,-199.28998592318,0.0142588957999549,5.73621099064395,48.611560830828
1025,"Clarke","Alabama",196,"2020-08-04",6.20657592672493,-123.171944715956,0.019468069603113,6.34993812231297,35.6043097590481
1027,"Clay","Alabama",196,"2020-08-04",5.32995445149122,43.0039976731751,0.0346232438165708,5.53958059823828,20.0197065368036
1029,"Cleburne","Alabama",196,"2020-08-04",4.7411984588112,58.0022011546047,0.0345460720147122,5.00910440088778,20.0644281718846
1031,"Coffee","Alabama",196,"2020-08-04",6.57587249469473,-103.477449384017,0.0220155756933868,6.74727748522996,31.4843995093963
1033,"Colbert","Alabama",196,"2020-08-04",6.96898475985126,-59.2923175792387,0.0273070052824636,7.16241770168588,25.3834931143138
1035,"Conecuh","Alabama",196,"2020-08-04",5.929969010441,-82.7429150985321,0.0212703596698123,6.07785457724641,32.5874687273712
1037,"Coosa","Alabama",196,"2020-08-04",4.57176112385696,-5.16845900109321,0.02285208470914,4.75708325886413,30.3319014165351
1039,"Covington","Alabama",196,"2020-08-04",6.66913544252843,-63.1024306269856,0.0258133768685008,6.86900232739848,26.852247347993
1041,"Crenshaw","Alabama",196,"2020-08-04",5.67626444576231,1.97323492909449,0.0289356996353731,5.81685009276244,23.9547406592717
1043,"Cullman","Alabama",196,"2020-08-04",7.04875868644536,-62.8066434443114,0.0272631923384495,7.24673764505993,25.4242853131471
1045,"Dale","Alabama",196,"2020-08-04",6.65580799743061,-61.2255075944354,0.0259534301005839,6.85755824214349,26.7073438028659
1047,"Dallas","Alabama",196,"2020-08-04",7.19829042041633,-223.044864375973,0.0172249310890505,7.33859342971998,40.2409261887012
1049,"DeKalb","Alabama",196,"2020-08-04",7.4249321195749,-129.214499170608,0.0228729825237528,7.59873643366662,30.3041887886783
