"fips","county","state","days_from_start","datetime","log_rolled_cases.x","t0.hat","tau.hat","predicted.grf.future","Predicted_Double_Days"
1001,"Autauga","Alabama",136,"2020-06-05",5.45776014095706,-17.6601469413416,0.0356403629527211,5.72598594902692,19.4483760302734
1003,"Baldwin","Alabama",136,"2020-06-05",5.71137264392288,-178.735599880484,0.0181880260385312,5.85173546814869,38.1100829244207
1005,"Barbour","Alabama",136,"2020-06-05",5.14915422823182,1.93341836786429,0.038306347093157,5.40374543924576,18.0948389277183
1007,"Bibb","Alabama",136,"2020-06-05",4.34935585238433,-25.5102644093363,0.0268759990832773,4.52888171178815,25.7905642284097
1009,"Blount","Alabama",136,"2020-06-05",4.16111273868694,-18.9097809150147,0.0268540310525632,4.3479302844055,25.8116622865
1011,"Bullock","Alabama",136,"2020-06-05",5.36062124988419,42.9335922255105,0.0585496200949304,5.85885015946075,11.8386281488437
1013,"Butler","Alabama",136,"2020-06-05",6.03479767181436,-89.762615336622,0.0269115377791291,6.2639999162004,25.7565058618652
1015,"Calhoun","Alabama",136,"2020-06-05",5.13074366638864,-81.1457739443503,0.0236748204896237,5.30661096164027,29.2778220161686
1017,"Chambers","Alabama",136,"2020-06-05",5.90419339612027,-257.154546785358,0.0150514196383489,6.02289400385975,46.0519470730789
1019,"Cherokee","Alabama",136,"2020-06-05",3.64880123054653,-23.799506331832,0.0229133360698859,3.82193314487232,30.2508189312041
1021,"Chilton","Alabama",136,"2020-06-05",4.67416305747504,-47.9088426360646,0.0254709737625565,4.86263412182323,27.2132187415191
1023,"Choctaw","Alabama",136,"2020-06-05",5.03323512601349,-44.1970416031231,0.0283003639585451,5.2977444093313,24.4925182437681
1025,"Clarke","Alabama",136,"2020-06-05",4.99334379698619,-10.6190525431187,0.0342626413230916,5.26339449767804,20.2304070495812
1027,"Clay","Alabama",136,"2020-06-05",3.32194801000801,-134.251719927753,0.012386542144393,3.43419011349056,55.9596998484125
1031,"Coffee","Alabama",136,"2020-06-05",5.47706110199411,-85.5903420233476,0.0248686796874426,5.68473999542159,27.8722951628971
1033,"Colbert","Alabama",136,"2020-06-05",5.24401202169049,-19.9143193744003,0.0337351185862837,5.49593388349908,20.5467539349861
1035,"Conecuh","Alabama",136,"2020-06-05",3.71008166176454,41.2675081126823,0.0388682474746561,3.95416367088971,17.8332501616367
1037,"Coosa","Alabama",136,"2020-06-05",3.68171096463532,-51.4174547553351,0.0195278892361171,3.79656252202999,35.4952433506208
1039,"Covington","Alabama",136,"2020-06-05",4.43421238784445,-31.9623276927716,0.0261865313798572,4.58165648441962,26.4696064746138
1041,"Crenshaw","Alabama",136,"2020-06-05",4.37305796469112,-16.7757989155293,0.0284496262566111,4.54556176399825,24.3640170984275
1043,"Cullman","Alabama",136,"2020-06-05",5.01158722182164,9.56622923091799,0.0389125610355024,5.19224974924914,17.8129416855278
1045,"Dale","Alabama",136,"2020-06-05",4.80284939843637,2.07945152861834,0.0358624876506972,5.0537614292844,19.3279168838269
