fips,county,new_rolled_cases,state,days_from_start,datetime,log_rolled_cases.x,t0.hat,tau.hat,predicted.grf.future,predicted.grf.future.0,predicted.grf.future.last,Predicted_Double_Days
1001,Autauga,7.428571429,Alabama,209,17/08/2020,7.132839803,-304.875982,0.013880469,7.230003088,7.230444713,7.230003088,49.93686917
1003,Baldwin,35.14285714,Alabama,209,17/08/2020,8.257756067,-416.5776455,0.01320021,8.350157535,8.350000985,8.350157535,52.51031608
1005,Barbour,5.857142857,Alabama,209,17/08/2020,6.488336122,-617.7265663,0.007848225,6.543273697,6.543201282,6.543273697,88.31897389
1007,Bibb,5.428571429,Alabama,209,17/08/2020,6.161508663,-185.8205305,0.015605847,6.270749589,6.270640001,6.270749589,44.41586509
1009,Blount,8.714285714,Alabama,209,17/08/2020,6.893366542,-332.2525256,0.012735953,6.98251821,6.981207375,6.98251821,54.42444701
1011,Bullock,4.285714286,Alabama,209,17/08/2020,6.215464874,-382.7732093,0.01050312,6.288986712,6.285619167,6.288986712,65.99440908
1013,Butler,4.571428571,Alabama,209,17/08/2020,6.683003292,-1118.138155,0.005033691,6.715638924,6.719774578,6.718239127,137.7015815
1015,Calhoun,24.57142857,Alabama,209,17/08/2020,7.593302222,-312.1365184,0.014570658,7.695296831,7.692393131,7.695296831,47.57143833
1017,Chambers,2.714285714,Alabama,209,17/08/2020,6.826700154,-1352.60602,0.004371589,6.857301279,6.86128679,6.857301279,158.557251
1019,Cherokee,5.142857143,Alabama,209,17/08/2020,5.782065393,-146.2242182,0.016277227,5.896005985,5.895183724,5.896005985,42.58386036
1021,Chilton,8.571428571,Alabama,209,17/08/2020,6.797780961,-320.979544,0.012826497,6.88756644,6.887481455,6.88756644,54.04025649
1023,Choctaw,1.714285714,Alabama,209,17/08/2020,5.698530613,-614.8771429,0.006916724,5.746947679,5.748403609,5.746947679,100.2132229
1025,Clarke,2.857142857,Alabama,209,17/08/2020,6.7633899,48.98707049,0.042267771,7.059264299,7.049268067,7.059264299,16.39895268
1027,Clay,7,Alabama,209,17/08/2020,5.689393737,-33.3734298,0.023473669,5.853709422,5.846981313,5.853709422,29.52871031
1029,Cleburne,1.142857143,Alabama,209,17/08/2020,4.908444353,-297.1571056,0.009697472,4.976326657,4.976980705,4.976326657,71.47710056
1031,Coffee,7.714285714,Alabama,209,17/08/2020,6.738490961,-409.3350386,0.010897799,6.814775554,6.814788735,6.814775554,63.6043279
1033,Colbert,10,Alabama,209,17/08/2020,7.149916836,-427.6035312,0.01123135,7.228536284,7.229395393,7.228536284,61.71539514
1035,Conecuh,2.285714286,Alabama,209,17/08/2020,6.056114669,-645.0686657,0.007090899,6.105750962,6.103798941,6.105750962,97.75166423
1037,Coosa,0.857142857,Alabama,209,17/08/2020,4.7993262,-232.385386,0.010882614,4.879605286,4.873905954,4.875504502,63.69307513
1039,Covington,8.428571429,Alabama,209,17/08/2020,6.81939234,-531.577846,0.009208205,6.883849772,6.882931503,6.883849772,75.27495419
1041,Crenshaw,6.142857143,Alabama,209,17/08/2020,5.926926026,-131.5695938,0.017402981,6.04874689,6.048015876,6.04874689,39.82922221
1043,Cullman,11.85714286,Alabama,209,17/08/2020,7.211240394,-668.9006141,0.00821749,7.271662087,7.269224869,7.268762826,84.35022948
1045,Dale,8,Alabama,209,17/08/2020,6.792665043,-563.4491291,0.008793673,6.854220754,6.853147062,6.854220754,78.82339738
1047,Dallas,8.428571429,Alabama,209,17/08/2020,7.288634912,-896.3391482,0.006594026,7.334793093,7.335850774,7.334793093,105.1174498
1049,DeKalb,10.42857143,Alabama,209,17/08/2020,7.567493397,-728.2530777,0.00807412,7.624012234,7.623570771,7.624012234,85.8480205
1051,Elmore,15.14285714,Alabama,209,17/08/2020,7.537734427,-653.103965,0.008743417,7.598938346,7.597069518,7.598938346,79.27646409
1053,Escambia,7.285714286,Alabama,209,17/08/2020,7.118247713,-627.1348195,0.008513277,7.177840655,7.172741818,7.177840655,81.41954539
1055,Etowah,21.71428571,Alabama,209,17/08/2020,7.746053581,-511.0521569,0.010757628,7.82135698,7.818770312,7.82135698,64.43308418
1057,Fayette,5.428571429,Alabama,209,17/08/2020,5.518599686,-15.73892127,0.024555603,5.690488905,5.686533074,5.690488905,28.22765892
1059,Franklin,10.14285714,Alabama,209,17/08/2020,7.200744671,-743.94277,0.007556324,7.253638942,7.253070763,7.253638942,91.73073403
1061,Geneva,3.714285714,Alabama,209,17/08/2020,5.685521516,-249.2026344,0.012408313,5.772379704,5.772870816,5.772379704,55.8615183
1063,Greene,1,Alabama,209,17/08/2020,5.562877022,-924.6224084,0.004907169,5.597227206,5.600001975,5.597227206,141.2519409
1065,Hale,3.285714286,Alabama,209,17/08/2020,6.238324625,-611.549504,0.007602618,6.291542953,6.291488625,6.291542953,91.17216711
1067,Henry,2.142857143,Alabama,209,17/08/2020,5.6584862,-359.7461166,0.010072666,5.799298086,5.730952655,5.728994859,68.81467232
1069,Houston,17.42857143,Alabama,209,17/08/2020,7.342409264,-386.0121435,0.012339932,7.428788787,7.429140118,7.428788787,56.17107067
1071,Jackson,17.71428571,Alabama,209,17/08/2020,7.025792251,-144.4024694,0.019907116,7.174573935,7.158227562,7.165142066,34.81906491
1073,Jefferson,121.2857143,Alabama,209,17/08/2020,9.548311485,-679.809534,0.010742809,9.623511151,9.622539949,9.623511151,64.52196532
1075,Lamar,2.571428571,Alabama,209,17/08/2020,5.504750647,-189.5338841,0.013812503,5.601438171,5.603883038,5.601438171,50.18258878
1077,Lauderdale,7.714285714,Alabama,209,17/08/2020,7.118594875,-520.6649679,0.009755977,7.186886716,7.188652028,7.186886716,71.0484617
1079,Lawrence,3.142857143,Alabama,209,17/08/2020,5.925782515,-371.3068094,0.010211465,5.997262768,5.997191576,5.997262768,67.87931008
1081,Lee,21.71428571,Alabama,209,17/08/2020,7.997038472,-681.0001467,0.00898829,8.0624975,8.059565311,8.059956503,77.11669029
