"fips","days_from_start","date","county","state","predicted.grf.augmented","Predicted_Double_Days","FIPS.STRING"
1001,187,"2020-07-26","Autauga","Alabama",7.00173312980364,27.1882434468088,"'01001"
1003,187,"2020-07-26","Baldwin","Alabama",8.0269483905763,16.7495514204765,"'01003"
1005,187,"2020-07-26","Barbour","Alabama",6.44473060357752,30.2039251395874,"'01005"
1007,187,"2020-07-26","Bibb","Alabama",5.89356659140565,25.2745150200378,"'01007"
1009,187,"2020-07-26","Blount","Alabama",6.65461569136038,16.1727113779291,"'01009"
1011,187,"2020-07-26","Bullock","Alabama",6.172126991048,38.5446984225995,"'01011"
1013,187,"2020-07-26","Butler","Alabama",6.73180701129063,35.4969441412867,"'01013"
1015,187,"2020-07-26","Calhoun","Alabama",7.13391751136535,16.6282778243283,"'01015"
1017,187,"2020-07-26","Chambers","Alabama",6.85278440924134,32.877624538789,"'01017"
1019,187,"2020-07-26","Cherokee","Alabama",5.54623578059096,18.4928579808065,"'01019"
1021,187,"2020-07-26","Chilton","Alabama",6.60061770493769,16.549689228758,"'01021"
1023,187,"2020-07-26","Choctaw","Alabama",5.67376431055962,35.7461747960643,"'01023"
1025,187,"2020-07-26","Clarke","Alabama",6.21845818959101,28.1557944728801,"'01025"
1027,187,"2020-07-26","Clay","Alabama",5.23038724658771,16.4292318813553,"'01027"
1029,187,"2020-07-26","Cleburne","Alabama",4.73965064455296,17.759095939206,"'01029"
1031,187,"2020-07-26","Coffee","Alabama",6.60943030227525,23.395864853715,"'01031"
1033,187,"2020-07-26","Colbert","Alabama",6.97304372474084,20.3591249332314,"'01033"
1035,187,"2020-07-26","Conecuh","Alabama",5.95025334520381,26.0972997384195,"'01035"
1037,187,"2020-07-26","Coosa","Alabama",4.60786016643498,23.3864005267358,"'01037"
1039,187,"2020-07-26","Covington","Alabama",6.71694975946294,20.3053833196198,"'01039"
1041,187,"2020-07-26","Crenshaw","Alabama",5.62922161593376,16.2871987585469,"'01041"
1043,187,"2020-07-26","Cullman","Alabama",7.03509872878702,22.708057988207,"'01043"
1045,187,"2020-07-26","Dale","Alabama",6.67408358190074,18.0707854360488,"'01045"
1047,187,"2020-07-26","Dallas","Alabama",7.25600304311656,35.5344382966194,"'01047"
1049,187,"2020-07-26","DeKalb","Alabama",7.45574200164878,26.1687415159742,"'01049"
