"fips","days_from_start.x","date.x","county","state","predicted.grf","log_rolled_cases.x","Predicted_Double_Days","FIPS.STRING"
1001,77,"2020-04-07","Autauga","Alabama",NA,6.92559519711047,NA,"'01001"
1003,77,"2020-04-07","Baldwin","Alabama",NA,8.02999108398986,NA,"'01003"
1005,77,"2020-04-07","Barbour","Alabama",NA,6.3888014727656,NA,"'01005"
1007,77,"2020-04-07","Bibb","Alabama",NA,5.8857071272973,NA,"'01007"
1009,77,"2020-04-07","Blount","Alabama",NA,6.62992923779366,NA,"'01009"
1011,77,"2020-04-07","Bullock","Alabama",NA,6.08254501505894,NA,"'01011"
1013,77,"2020-04-07","Butler","Alabama",NA,6.62292627551276,NA,"'01013"
1015,77,"2020-04-07","Calhoun","Alabama",NA,7.26383004284884,NA,"'01015"
1017,77,"2020-04-07","Chambers","Alabama",5.14497329434494,4.39621126966584,5.58217032709382,"'01017"
1019,77,"2020-04-07","Cherokee","Alabama",NA,5.4812339843533,NA,"'01019"
1021,77,"2020-04-07","Chilton","Alabama",NA,6.55148841503274,NA,"'01021"
1023,77,"2020-04-07","Choctaw","Alabama",NA,5.61208480947549,NA,"'01023"
1025,77,"2020-04-07","Clarke","Alabama",NA,6.19119324058399,NA,"'01025"
1027,77,"2020-04-07","Clay","Alabama",NA,5.29760282561017,NA,"'01027"
1029,77,"2020-04-07","Cleburne","Alabama",NA,4.71977356872709,NA,"'01029"
1031,77,"2020-04-07","Coffee","Alabama",NA,6.56143470630611,NA,"'01031"
1033,77,"2020-04-07","Colbert","Alabama",NA,6.94463809655086,NA,"'01033"
1035,77,"2020-04-07","Conecuh","Alabama",NA,5.91581692876867,NA,"'01035"
1037,77,"2020-04-07","Coosa","Alabama",NA,4.55987391107292,NA,"'01037"
1039,77,"2020-04-07","Covington","Alabama",NA,6.65009422278521,NA,"'01039"
1041,77,"2020-04-07","Crenshaw","Alabama",NA,5.64241352827991,NA,"'01041"
1043,77,"2020-04-07","Cullman","Alabama",NA,7.02642680869964,NA,"'01043"
1045,77,"2020-04-07","Dale","Alabama",NA,6.64099565477222,NA,"'01045"
1047,77,"2020-04-07","Dallas","Alabama",NA,7.18841273649695,NA,"'01047"
1049,77,"2020-04-07","DeKalb","Alabama",NA,7.4068841907158,NA,"'01049"
1051,77,"2020-04-07","Elmore","Alabama",NA,7.3757032253303,NA,"'01051"
1053,77,"2020-04-07","Escambia","Alabama",NA,6.89857036940506,NA,"'01053"
1055,77,"2020-04-07","Etowah","Alabama",NA,7.5430463233589,NA,"'01055"
1057,77,"2020-04-07","Fayette","Alabama",NA,5.14082778545526,NA,"'01057"
1059,77,"2020-04-07","Franklin","Alabama",NA,7.06157937487442,NA,"'01059"
1061,77,"2020-04-07","Geneva","Alabama",NA,5.39492540506796,NA,"'01061"
1063,77,"2020-04-07","Greene","Alabama",NA,5.48716519984327,NA,"'01063"
1065,77,"2020-04-07","Hale","Alabama",NA,6.11368217983223,NA,"'01065"
1067,77,"2020-04-07","Henry","Alabama",NA,5.50533153593236,NA,"'01067"
1069,77,"2020-04-07","Houston","Alabama",NA,7.15550781569668,NA,"'01069"
1071,77,"2020-04-07","Jackson","Alabama",NA,6.63575906154529,NA,"'01071"
1073,77,"2020-04-07","Jefferson","Alabama",6.94967495465321,5.95472646396269,5.58217032709382,"'01073"
1075,77,"2020-04-07","Lamar","Alabama",NA,5.26194972237716,NA,"'01075"
1077,77,"2020-04-07","Lauderdale","Alabama",NA,6.91869521902047,NA,"'01077"
1079,77,"2020-04-07","Lawrence","Alabama",NA,5.68114726796362,NA,"'01079"
1081,77,"2020-04-07","Lee","Alabama",5.63988879864885,4.65803367554516,5.58217032709382,"'01081"
1083,77,"2020-04-07","Limestone","Alabama",NA,7.04888274822829,NA,"'01083"
1085,77,"2020-04-07","Lowndes","Alabama",NA,6.32384679847767,NA,"'01085"
1087,77,"2020-04-07","Macon","Alabama",NA,5.74025215443759,NA,"'01087"
1089,77,"2020-04-07","Madison","Alabama",5.86885264565951,4.856484614269,5.58217032709382,"'01089"
1091,77,"2020-04-07","Marengo","Alabama",NA,6.23692856171071,NA,"'01091"
1093,77,"2020-04-07","Marion","Alabama",NA,6.30078579466324,NA,"'01093"
1095,77,"2020-04-07","Marshall","Alabama",NA,7.96718113962351,NA,"'01095"
1097,77,"2020-04-07","Mobile","Alabama",5.43990949287098,4.76339419120298,5.58217032709382,"'01097"
1099,77,"2020-04-07","Monroe","Alabama",NA,6.05443934626937,NA,"'01099"
1101,77,"2020-04-07","Montgomery","Alabama",4.90417958464284,4.09672268462707,5.58217032709382,"'01101"
1103,77,"2020-04-07","Morgan","Alabama",NA,7.67322312112171,NA,"'01103"
1105,77,"2020-04-07","Perry","Alabama",NA,6.07993319509559,NA,"'01105"
1107,77,"2020-04-07","Pickens","Alabama",NA,5.88372024009488,NA,"'01107"
1109,77,"2020-04-07","Pike","Alabama",NA,6.47565281134567,NA,"'01109"
1111,77,"2020-04-07","Randolph","Alabama",NA,5.97126183979046,NA,"'01111"
1113,77,"2020-04-07","Russell","Alabama",NA,7.08386711914178,NA,"'01113"
1115,77,"2020-04-07","St. Clair","Alabama",NA,7.10108742472469,NA,"'01115"
1117,77,"2020-04-07","Shelby","Alabama",5.8140997158356,4.84080680154977,5.58217032709382,"'01117"
1119,77,"2020-04-07","Sumter","Alabama",NA,5.88966909761465,NA,"'01119"
1121,77,"2020-04-07","Talladega","Alabama",NA,6.88390160010274,NA,"'01121"
1123,77,"2020-04-07","Tallapoosa","Alabama",NA,6.72982407048948,NA,"'01123"
1125,77,"2020-04-07","Tuscaloosa","Alabama",4.77502198894961,3.95398720452718,5.58217032709382,"'01125"
1127,77,"2020-04-07","Walker","Alabama",4.81683201371274,3.85620822632175,5.58217032709382,"'01127"
1129,77,"2020-04-07","Washington","Alabama",NA,5.72078005102477,NA,"'01129"
1131,77,"2020-04-07","Wilcox","Alabama",NA,6.012317043267,NA,"'01131"
1133,77,"2020-04-07","Winston","Alabama",NA,6.05477463545943,NA,"'01133"
2013,77,"2020-04-07","Aleutians East Borough","Alaska",NA,1.09861228866811,NA,"'02013"
2016,77,"2020-04-07","Aleutians West Census Area","Alaska",NA,4.48057830840238,NA,"'02016"
2020,77,"2020-04-07","Anchorage","Alaska",4.93649759598214,4.37844886708944,8.62937746050391,"'02020"
2050,77,"2020-04-07","Bethel Census Area","Alaska",NA,3.07136968775961,NA,"'02050"
2060,77,"2020-04-07","Bristol Bay Borough","Alaska",NA,4.16333743370905,NA,"'02060"
2068,77,"2020-04-07","Denali Borough","Alaska",NA,1.38629436111989,NA,"'02068"
2070,77,"2020-04-07","Dillingham Census Area","Alaska",NA,3.07136968775961,NA,"'02070"
2090,77,"2020-04-07","Fairbanks North Star Borough","Alaska",4.35287549160433,3.88890052952776,8.62937746050391,"'02090"
2100,77,"2020-04-07","Haines Borough","Alaska",NA,2.07944154167984,NA,"'02100"
2105,77,"2020-04-07","Hoonah-Angoon Census Area","Alaska",NA,4.9406214934752,NA,"'02105"
2110,77,"2020-04-07","Juneau City and Borough","Alaska",NA,6.06478139007499,NA,"'02110"
