"fips","days_from_start.x","date.x","county","state","predicted.grf.augmented","Predicted_Double_Days","FIPS.STRING","days_from_start","date"
1001,93,"2020-04-23","Autauga","Alabama",3.72212360364732,14.1712372049192,"'01001",NA,NA
1003,93,"2020-04-23","Baldwin","Alabama",5.13265487852766,13.9455565967733,"'01003",NA,NA
1005,93,"2020-04-23","Barbour","Alabama",NA,NA,"'01005",NA,NA
1007,93,"2020-04-23","Bibb","Alabama",NA,NA,"'01007",NA,NA
1009,93,"2020-04-23","Blount","Alabama",NA,NA,"'01009",NA,NA
1011,93,"2020-04-23","Bullock","Alabama",NA,NA,"'01011",NA,NA
1013,93,"2020-04-23","Butler","Alabama",NA,NA,"'01013",NA,NA
1015,93,"2020-04-23","Calhoun","Alabama",4.66177463499805,15.4397344057017,"'01015",NA,NA
1017,93,"2020-04-23","Chambers","Alabama",5.87369109689831,16.8534276324299,"'01017",NA,NA
1019,93,"2020-04-23","Cherokee","Alabama",NA,NA,"'01019",NA,NA
1021,93,"2020-04-23","Chilton","Alabama",4.12414522241626,14.3475479936722,"'01021",NA,NA
1023,93,"2020-04-23","Choctaw","Alabama",NA,NA,"'01023",NA,NA
1025,93,"2020-04-23","Clarke","Alabama",3.56221074432879,16.0526919717996,"'01025",NA,NA
1027,93,"2020-04-23","Clay","Alabama",NA,NA,"'01027",NA,NA
1029,93,"2020-04-23","Cleburne","Alabama",NA,NA,"'01029",NA,NA
1031,93,"2020-04-23","Coffee","Alabama",4.57526159905925,10.6592436697103,"'01031",NA,NA
1033,93,"2020-04-23","Colbert","Alabama",NA,NA,"'01033",NA,NA
1035,93,"2020-04-23","Conecuh","Alabama",NA,NA,"'01035",NA,NA
1037,93,"2020-04-23","Coosa","Alabama",NA,NA,"'01037",NA,NA
1039,93,"2020-04-23","Covington","Alabama",NA,NA,"'01039",NA,NA
1041,93,"2020-04-23","Crenshaw","Alabama",NA,NA,"'01041",NA,NA
1043,93,"2020-04-23","Cullman","Alabama",4.07522783106124,22.270361164552,"'01043",NA,NA
1045,93,"2020-04-23","Dale","Alabama",NA,NA,"'01045",NA,NA
1047,93,"2020-04-23","Dallas","Alabama",NA,NA,"'01047",NA,NA
1049,93,"2020-04-23","DeKalb","Alabama",4.27617385873044,10.2857813513963,"'01049",NA,NA
1051,93,"2020-04-23","Elmore","Alabama",4.62361267979789,11.0975299701184,"'01051",NA,NA
1053,93,"2020-04-23","Escambia","Alabama",NA,NA,"'01053",NA,NA
1055,93,"2020-04-23","Etowah","Alabama",4.96076482592042,15.310429685003,"'01055",NA,NA
1057,93,"2020-04-23","Fayette","Alabama",NA,NA,"'01057",NA,NA
1059,93,"2020-04-23","Franklin","Alabama",NA,NA,"'01059",NA,NA
1061,93,"2020-04-23","Geneva","Alabama",NA,NA,"'01061",NA,NA
1063,93,"2020-04-23","Greene","Alabama",NA,NA,"'01063",NA,NA
1065,93,"2020-04-23","Hale","Alabama",NA,NA,"'01065",NA,NA
1067,93,"2020-04-23","Henry","Alabama",NA,NA,"'01067",NA,NA
1069,93,"2020-04-23","Houston","Alabama",4.61089743967878,13.6335726121748,"'01069",NA,NA
