"fips","county","state","days_from_start","datetime","log_rolled_cases.x","t0.hat","tau.hat","predicted.grf.future","Predicted_Double_Days","predicted.grf.past","block.mse"
1073,"Jefferson","Alabama",65,"2020-03-26",4.54784369079637,44.6136846670999,0.223156595520427,6.11143689353884,3.1061021474335,NA,NA
6001,"Alameda","California",65,"2020-03-26",4.88496408559086,38.0411789228831,0.183075099136895,6.21701453526523,3.78613576520117,NA,NA
6013,"Contra Costa","California",65,"2020-03-26",4.37125453769197,36.8359767621724,0.181427707811762,6.37972813347861,3.82051445680563,NA,NA
6037,"Los Angeles","California",65,"2020-03-26",6.4150969591716,36.3748617857021,0.223369302669829,7.95756228044398,3.10314430978242,6.04760007245195,0.135053961748635
6059,"Orange","California",65,"2020-03-26",4.91893762891555,41.183141691323,0.20337282480618,6.26731152588743,3.4082586069232,NA,NA
6067,"Sacramento","California",65,"2020-03-26",4.37125453769197,40.887857819934,0.18807928838823,5.85154956146023,3.68539878314067,NA,NA
6073,"San Diego","California",65,"2020-03-26",5.4349688865088,37.5669421791154,0.200112290016536,6.890478052809,3.46379115696827,NA,NA
6075,"San Francisco","California",65,"2020-03-26",4.92828834639798,37.9573764816137,0.18384097445104,6.25842908049002,3.77036285098969,NA,NA
6081,"San Mateo","California",65,"2020-03-26",4.95179479407332,36.0038949434556,0.176020242677525,6.33604314749862,3.93788333668995,NA,NA
6085,"Santa Clara","California",65,"2020-03-26",5.86159989316088,31.4717475267368,0.178111339737093,7.21854134521605,3.89165104020378,6.53508032260445,0.453575888843494
8031,"Denver","Colorado",65,"2020-03-26",5.05897184065754,40.7373532985012,0.208676355972958,6.5237751917388,3.32163736197199,NA,NA
8037,"Eagle","Colorado",65,"2020-03-26",4.5613675633297,40.7164735224436,0.193025125293754,6.03850661796078,3.59096868609765,NA,NA
8059,"Jefferson","Colorado",65,"2020-03-26",4.23410650459726,43.6681129739927,0.199075465375139,5.64018359465825,3.48183127063788,NA,NA
9001,"Fairfield","Connecticut",65,"2020-03-26",5.78470391700843,45.0597327600637,0.290575584737273,7.8281839062229,2.38542815352729,NA,NA
11001,"District of Columbia","District of Columbia",65,"2020-03-26",4.87082573153965,44.3047401306367,0.246235818425021,6.81956498042631,2.81497300024614,NA,NA
12011,"Broward","Florida",65,"2020-03-26",5.65499231048677,41.4364044514056,0.240197302155207,7.34129319493527,2.88574090691518,NA,NA
